# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.02 kappa_step=0.01 initial_relax_steps=2000 relax_steps=200 measure_steps=500 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/3)
2100,21.0000,0.000000e0,130,66,64,-2.818085e4,-4.300056e-1,7,6,1,0.000000e0,0.000000e0,0.000000e0
2200,22.0000,0.000000e0,129,65,64,-2.827255e4,-4.314049e-1,7,6,1,-7.751938e-3,-1.550388e-2,1.692126e-1
2300,23.0000,0.000000e0,126,62,64,-2.835744e4,-4.327001e-1,7,6,1,-3.174603e-2,-2.380952e-2,1.527194e-1
2400,24.0000,0.000000e0,121,57,64,-2.844000e4,-4.339600e-1,6,5,1,4.132231e-2,8.264463e-3,1.108613e-1
2500,25.0000,0.000000e0,118,54,64,-2.851933e4,-4.351704e-1,6,5,1,0.000000e0,0.000000e0,1.355932e-1
# sweep_kappa=0.01 begin_step=2500 (index=2/3)
2800,28.0000,1.000000e-2,117,53,64,-2.869780e4,-4.378937e-1,7,5,2,0.000000e0,0.000000e0,0.000000e0
2900,29.0000,1.000000e-2,117,53,64,-2.874829e4,-4.386640e-1,7,5,2,-8.547009e-3,2.564103e-2,1.438327e-1
3000,30.0000,1.000000e-2,114,50,64,-2.880023e4,-4.394567e-1,7,5,2,-2.631579e-2,4.385965e-2,1.176685e-1
3100,31.0000,1.000000e-2,111,47,64,-2.885421e4,-4.402804e-1,8,5,3,9.009009e-3,0.000000e0,6.306306e-2
3200,32.0000,1.000000e-2,111,47,64,-2.890462e4,-4.410496e-1,9,5,4,0.000000e0,-1.801802e-2,1.516075e-1
# sweep_kappa=0.02 begin_step=3200 (index=3/3)
3500,35.0000,2.000000e-2,108,44,64,-2.901466e4,-4.427286e-1,8,4,4,0.000000e0,0.000000e0,0.000000e0
3600,36.0000,2.000000e-2,107,43,64,-2.905107e4,-4.432842e-1,8,4,4,-2.803738e-2,-4.672897e-2,1.066749e-1
3700,37.0000,2.000000e-2,107,43,64,-2.908568e4,-4.438123e-1,9,4,5,-2.803738e-2,-9.345794e-3,1.237016e-1
3800,38.0000,2.000000e-2,106,42,64,-2.911873e4,-4.443166e-1,9,4,5,2.830189e-2,-9.433962e-3,6.994541e-2
3900,39.0000,2.000000e-2,105,41,64,-2.915102e4,-4.448093e-1,9,4,5,-5.714286e-2,-4.761905e-2,1.238095e-1
