# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=1000 measure_steps=2000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=121 radius=3 spacing=24 alpha_default=1 alpha_defect=-0.2
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/11)
10100,101.0000,0.000000e0,83,19,64,-2.885620e4,-4.403107e-1,41,5,36,0.000000e0,0.000000e0,0.000000e0
10200,102.0000,0.000000e0,83,19,64,-2.887416e4,-4.405847e-1,41,5,36,-1.204819e-2,0.000000e0,6.024096e-2
10300,103.0000,0.000000e0,82,18,64,-2.889280e4,-4.408692e-1,41,5,36,-3.658537e-2,1.219512e-2,9.041724e-2
10400,104.0000,0.000000e0,79,15,64,-2.891320e4,-4.411804e-1,38,5,33,2.531646e-2,0.000000e0,7.594937e-2
10500,105.0000,0.000000e0,77,13,64,-2.893359e4,-4.414915e-1,37,5,32,-1.298701e-2,0.000000e0,1.298701e-2
10600,106.0000,0.000000e0,76,12,64,-2.895199e4,-4.417723e-1,37,5,32,1.315789e-2,2.631579e-2,3.947368e-2
10700,107.0000,0.000000e0,76,12,64,-2.896716e4,-4.420037e-1,37,5,32,1.315789e-2,1.315789e-2,2.631579e-2
10800,108.0000,0.000000e0,76,12,64,-2.897928e4,-4.421887e-1,37,5,32,0.000000e0,0.000000e0,2.631579e-2
10900,109.0000,0.000000e0,76,12,64,-2.898907e4,-4.423381e-1,37,5,32,-2.631579e-2,-1.315789e-2,3.947368e-2
11000,110.0000,0.000000e0,76,12,64,-2.899732e4,-4.424639e-1,37,5,32,-1.315789e-2,0.000000e0,1.315789e-2
11100,111.0000,0.000000e0,76,12,64,-2.900456e4,-4.425744e-1,37,5,32,2.631579e-2,1.315789e-2,3.947368e-2
11200,112.0000,0.000000e0,76,12,64,-2.901112e4,-4.426745e-1,37,5,32,1.315789e-2,-1.315789e-2,2.631579e-2
11300,113.0000,0.000000e0,76,12,64,-2.901722e4,-4.427676e-1,37,5,32,2.631579e-2,0.000000e0,5.263158e-2
11400,114.0000,0.000000e0,76,12,64,-2.902303e4,-4.428564e-1,37,5,32,1.315789e-2,-1.315789e-2,5.263158e-2
11500,115.0000,0.000000e0,76,12,64,-2.902875e4,-4.429436e-1,37,5,32,-2.631579e-2,1.315789e-2,3.947368e-2
11600,116.0000,0.000000e0,76,12,64,-2.903465e4,-4.430336e-1,37,5,32,0.000000e0,-1.315789e-2,3.947368e-2
11700,117.0000,0.000000e0,75,11,64,-2.904116e4,-4.431329e-1,37,5,32,0.000000e0,-1.333333e-2,1.333333e-2
11800,118.0000,0.000000e0,75,11,64,-2.904858e4,-4.432462e-1,37,5,32,-1.333333e-2,0.000000e0,4.000000e-2
11900,119.0000,0.000000e0,75,11,64,-2.905574e4,-4.433555e-1,37,5,32,1.333333e-2,0.000000e0,4.000000e-2
12000,120.0000,0.000000e0,75,11,64,-2.906160e4,-4.434448e-1,37,5,32,1.333333e-2,0.000000e0,1.333333e-2
# sweep_kappa=0.005 begin_step=12000 (index=2/11)
13100,131.0000,5.000000e-3,74,10,64,-2.911833e4,-4.443105e-1,37,5,32,0.000000e0,0.000000e0,0.000000e0
13200,132.0000,5.000000e-3,74,10,64,-2.912343e4,-4.443882e-1,37,5,32,-1.351351e-2,-1.351351e-2,8.108108e-2
13300,133.0000,5.000000e-3,74,10,64,-2.912860e4,-4.444672e-1,37,5,32,-1.351351e-2,-1.351351e-2,8.108108e-2
13400,134.0000,5.000000e-3,74,10,64,-2.913433e4,-4.445546e-1,37,5,32,1.351351e-2,0.000000e0,4.054054e-2
13500,135.0000,5.000000e-3,73,9,64,-2.914117e4,-4.446589e-1,37,5,32,1.369863e-2,1.369863e-2,2.739726e-2
13600,136.0000,5.000000e-3,73,9,64,-2.914866e4,-4.447733e-1,37,5,32,-1.369863e-2,0.000000e0,1.369863e-2
13700,137.0000,5.000000e-3,73,9,64,-2.915546e4,-4.448771e-1,37,5,32,0.000000e0,0.000000e0,5.479452e-2
13800,138.0000,5.000000e-3,72,8,64,-2.916180e4,-4.449737e-1,37,4,33,2.777778e-2,1.388889e-2,4.166667e-2
13900,139.0000,5.000000e-3,72,8,64,-2.916819e4,-4.450712e-1,37,4,33,0.000000e0,-1.388889e-2,4.166667e-2
