# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=1000 measure_steps=2000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=121 radius=3 spacing=24 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,20,3.030746e-2,-4.085454e-3,-1.419651e-3,6.400000e1,3.285000e1,-4.392965e-1
5.000000e-3,20,3.897673e-2,8.119843e-4,-9.436772e-5,6.400000e1,3.560000e1,-4.422721e-1
1.000000e-2,20,2.308702e-2,-1.547988e-3,7.739938e-4,6.400000e1,3.985000e1,-4.444192e-1
1.500000e-2,20,2.476780e-2,7.739938e-4,-2.321981e-3,6.400000e1,4.135000e1,-4.451272e-1
2.000000e-2,20,1.471743e-2,-4.643963e-3,-7.855460e-4,6.400000e1,4.285000e1,-4.456305e-1
2.500000e-2,20,1.806756e-2,-1.571092e-3,-7.855460e-4,6.400000e1,4.190000e1,-4.461437e-1
3.000000e-2,20,9.426551e-3,-8.641005e-3,-7.855460e-4,6.400000e1,4.300000e1,-4.463463e-1
3.500000e-2,20,1.256874e-2,-8.641005e-3,7.855460e-4,6.400000e1,4.300000e1,-4.463733e-1
4.000000e-2,20,1.289412e-2,-7.069914e-3,-1.571092e-3,6.400000e1,4.405000e1,-4.464426e-1
4.499999e-2,20,9.426551e-3,-7.855460e-3,1.571092e-3,6.400000e1,4.600000e1,-4.465487e-1
4.999999e-2,20,6.284368e-3,-3.927730e-3,7.855460e-4,6.400000e1,4.600000e1,-4.464648e-1
