# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=1000 measure_steps=2000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-1
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,20,4.569909e-2,-4.879914e-3,5.610449e-3,6.400000e1,2.215000e1,-4.560985e-1
5.000000e-3,20,3.027355e-2,7.309942e-4,-3.654971e-3,6.400000e1,2.300000e1,-4.581476e-1
1.000000e-2,20,3.210183e-2,7.627765e-4,-6.832298e-3,6.400000e1,2.310000e1,-4.597442e-1
1.500000e-2,20,2.631579e-2,-1.547988e-3,1.826025e-19,6.400000e1,2.450000e1,-4.608536e-1
2.000000e-2,20,3.286448e-2,1.225228e-5,-2.333884e-3,6.400000e1,2.625000e1,-4.617652e-1
2.500000e-2,20,1.902214e-2,-6.490385e-3,-8.122470e-3,6.400000e1,2.810000e1,-4.624835e-1
3.000000e-2,20,2.172222e-2,-9.868421e-3,4.111842e-3,6.400000e1,2.965000e1,-4.630406e-1
3.500000e-2,20,2.075875e-2,-1.069079e-2,-6.578947e-3,6.400000e1,3.130000e1,-4.632374e-1
4.000000e-2,20,1.466154e-2,-9.868421e-3,-2.467105e-3,6.400000e1,3.285000e1,-4.633858e-1
4.499999e-2,20,1.069079e-2,-7.401316e-3,0.000000e0,6.400000e1,3.300000e1,-4.633476e-1
4.999999e-2,20,1.925511e-2,-1.315789e-2,1.644737e-3,6.400000e1,3.300000e1,-4.632529e-1
