# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=1000 measure_steps=2000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-1
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/11)
10100,101.0000,0.000000e0,77,13,64,-2.980930e4,-4.548538e-1,23,1,22,0.000000e0,0.000000e0,0.000000e0
10200,102.0000,0.000000e0,77,13,64,-2.981619e4,-4.549590e-1,23,2,21,-1.298701e-2,1.298701e-2,2.597403e-2
10300,103.0000,0.000000e0,77,13,64,-2.982327e4,-4.550669e-1,24,2,22,-1.298701e-2,1.298701e-2,7.792208e-2
10400,104.0000,0.000000e0,77,13,64,-2.983052e4,-4.551776e-1,24,2,22,-1.298701e-2,0.000000e0,3.135342e-2
10500,105.0000,0.000000e0,77,13,64,-2.983814e4,-4.552939e-1,24,2,22,-1.298701e-2,0.000000e0,7.569386e-2
10600,106.0000,0.000000e0,76,12,64,-2.984662e4,-4.554232e-1,24,2,22,0.000000e0,2.631579e-2,2.631579e-2
10700,107.0000,0.000000e0,76,12,64,-2.985579e4,-4.555631e-1,24,2,22,0.000000e0,2.631579e-2,5.263158e-2
10800,108.0000,0.000000e0,76,12,64,-2.986427e4,-4.556926e-1,24,2,22,-1.315789e-2,-1.315789e-2,5.263158e-2
10900,109.0000,0.000000e0,76,12,64,-2.987237e4,-4.558162e-1,24,2,22,1.315789e-2,-1.315789e-2,2.631579e-2
11000,110.0000,0.000000e0,76,12,64,-2.988144e4,-4.559546e-1,24,2,22,-2.631579e-2,3.947368e-2,6.578947e-2
11100,111.0000,0.000000e0,74,10,64,-2.989287e4,-4.561291e-1,24,2,22,1.351351e-2,-1.351351e-2,2.702703e-2
11200,112.0000,0.000000e0,73,9,64,-2.990642e4,-4.563358e-1,24,2,22,1.369863e-2,0.000000e0,6.849315e-2
11300,113.0000,0.000000e0,73,9,64,-2.991932e4,-4.565326e-1,24,2,22,0.000000e0,-4.109589e-2,6.849315e-2
11400,114.0000,0.000000e0,72,8,64,-2.993056e4,-4.567041e-1,24,2,22,-1.388889e-2,0.000000e0,4.166667e-2
11500,115.0000,0.000000e0,72,8,64,-2.993999e4,-4.568480e-1,24,2,22,1.388889e-2,-1.388889e-2,2.777778e-2
11600,116.0000,0.000000e0,72,8,64,-2.994733e4,-4.569601e-1,24,2,22,-1.388889e-2,4.166667e-2,5.555556e-2
11700,117.0000,0.000000e0,72,8,64,-2.995337e4,-4.570521e-1,25,2,23,-1.388889e-2,4.166667e-2,4.741963e-2
11800,118.0000,0.000000e0,72,8,64,-2.995863e4,-4.571324e-1,25,2,23,0.000000e0,-1.388889e-2,1.388889e-2
11900,119.0000,0.000000e0,72,8,64,-2.996336e4,-4.572046e-1,25,2,23,-2.777778e-2,0.000000e0,2.777778e-2
12000,120.0000,0.000000e0,72,8,64,-2.996765e4,-4.572701e-1,25,2,23,1.388889e-2,1.388889e-2,5.555556e-2
# sweep_kappa=0.005 begin_step=12000 (index=2/11)
13100,131.0000,5.000000e-3,72,8,64,-3.000405e4,-4.578254e-1,25,2,23,0.000000e0,0.000000e0,0.000000e0
13200,132.0000,5.000000e-3,72,8,64,-3.000644e4,-4.578620e-1,25,2,23,0.000000e0,0.000000e0,0.000000e0
13300,133.0000,5.000000e-3,72,8,64,-3.000879e4,-4.578978e-1,25,2,23,0.000000e0,0.000000e0,2.777778e-2
13400,134.0000,5.000000e-3,72,8,64,-3.001109e4,-4.579329e-1,25,2,23,1.388889e-2,1.388889e-2,2.777778e-2
13500,135.0000,5.000000e-3,72,8,64,-3.001335e4,-4.579673e-1,25,2,23,1.388889e-2,-1.388889e-2,5.555556e-2
13600,136.0000,5.000000e-3,72,8,64,-3.001557e4,-4.580012e-1,25,2,23,0.000000e0,0.000000e0,5.555556e-2
13700,137.0000,5.000000e-3,72,8,64,-3.001776e4,-4.580346e-1,25,2,23,0.000000e0,1.388889e-2,4.166667e-2
13800,138.0000,5.000000e-3,72,8,64,-3.001992e4,-4.580676e-1,25,2,23,0.000000e0,-1.388889e-2,1.388889e-2
13900,139.0000,5.000000e-3,72,8,64,-3.002206e4,-4.581003e-1,25,2,23,-1.388889e-2,-2.777778e-2,6.944444e-2
14000,140.0000,5.000000e-3,72,8,64,-3.002419e4,-4.581327e-1,25,2,23,0.000000e0,0.000000e0,2.777778e-2
14100,141.0000,5.000000e-3,72,8,64,-3.002630e4,-4.581650e-1,25,2,23,2.777778e-2,-1.388889e-2,4.166667e-2
14200,142.0000,5.000000e-3,72,8,64,-3.002841e4,-4.581971e-1,25,2,23,0.000000e0,-1.388889e-2,1.388889e-2
14300,143.0000,5.000000e-3,72,8,64,-3.003052e4,-4.582293e-1,25,2,23,-1.388889e-2,-1.388889e-2,5.555556e-2
14400,144.0000,5.000000e-3,72,8,64,-3.003263e4,-4.582616e-1,25,2,23,1.388889e-2,0.000000e0,1.388889e-2
14500,145.0000,5.000000e-3,72,8,64,-3.003476e4,-4.582941e-1,25,2,23,0.000000e0,1.388889e-2,3.353074e-2
14600,146.0000,5.000000e-3,72,8,64,-3.003692e4,-4.583271e-1,25,2,23,0.000000e0,0.000000e0,2.777778e-2
14700,147.0000,5.000000e-3,72,8,64,-3.003912e4,-4.583606e-1,25,2,23,0.000000e0,0.000000e0,0.000000e0
14800,148.0000,5.000000e-3,72,8,64,-3.004138e4,-4.583951e-1,25,2,23,0.000000e0,0.000000e0,0.000000e0
14900,149.0000,5.000000e-3,72,8,64,-3.004372e4,-4.584308e-1,25,2,23,0.000000e0,0.000000e0,0.000000e0
15000,150.0000,5.000000e-3,72,8,64,-3.004620e4,-4.584686e-1,25,2,23,-2.777778e-2,-1.388889e-2,6.944444e-2
# sweep_kappa=0.01 begin_step=15000 (index=3/11)
16100,161.0000,1.000000e-2,70,6,64,-3.009793e4,-4.592580e-1,25,2,23,0.000000e0,0.000000e0,0.000000e0
16200,162.0000,1.000000e-2,70,6,64,-3.010094e4,-4.593039e-1,25,2,23,0.000000e0,-2.857143e-2,5.714286e-2
16300,163.0000,1.000000e-2,70,6,64,-3.010400e4,-4.593505e-1,25,2,23,0.000000e0,1.428571e-2,1.428571e-2
16400,164.0000,1.000000e-2,70,6,64,-3.010731e4,-4.594011e-1,25,2,23,1.428571e-2,-1.428571e-2,2.857143e-2
16500,165.0000,1.000000e-2,70,6,64,-3.011125e4,-4.594613e-1,25,2,23,-1.428571e-2,-1.428571e-2,5.714286e-2
16600,166.0000,1.000000e-2,69,5,64,-3.011624e4,-4.595374e-1,25,2,23,0.000000e0,1.449275e-2,1.449275e-2
16700,167.0000,1.000000e-2,69,5,64,-3.012152e4,-4.596179e-1,25,2,23,0.000000e0,-1.449275e-2,6.397411e-2
16800,168.0000,1.000000e-2,69,5,64,-3.012564e4,-4.596808e-1,25,2,23,0.000000e0,1.449275e-2,1.449275e-2
16900,169.0000,1.000000e-2,69,5,64,-3.012884e4,-4.597297e-1,25,2,23,0.000000e0,0.000000e0,2.898551e-2
17000,170.0000,1.000000e-2,69,5,64,-3.013160e4,-4.597717e-1,25,2,23,1.449275e-2,0.000000e0,1.449275e-2
17100,171.0000,1.000000e-2,69,5,64,-3.013412e4,-4.598102e-1,25,2,23,0.000000e0,0.000000e0,2.898551e-2
17200,172.0000,1.000000e-2,69,5,64,-3.013651e4,-4.598466e-1,25,2,23,0.000000e0,1.449275e-2,1.449275e-2
17300,173.0000,1.000000e-2,69,5,64,-3.013882e4,-4.598820e-1,25,2,23,0.000000e0,-1.449275e-2,1.449275e-2
17400,174.0000,1.000000e-2,69,5,64,-3.014112e4,-4.599169e-1,25,2,23,0.000000e0,1.449275e-2,1.449275e-2
17500,175.0000,1.000000e-2,69,5,64,-3.014343e4,-4.599523e-1,25,2,23,0.000000e0,1.449275e-2,1.449275e-2
17600,176.0000,1.000000e-2,69,5,64,-3.014582e4,-4.599887e-1,25,2,23,-1.449275e-2,-1.449275e-2,4.948136e-2
