# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=121 radius=3 spacing=24 alpha_default=1 alpha_defect=-1
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
20100,201.0000,0.000000e0,68,4,64,-2.896801e4,-4.420167e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,68,4,64,-2.896960e4,-4.420410e-1,45,2,43,0.000000e0,1.470588e-2,1.470588e-2
20300,203.0000,0.000000e0,68,4,64,-2.897108e4,-4.420636e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
20400,204.0000,0.000000e0,68,4,64,-2.897243e4,-4.420841e-1,45,2,43,1.470588e-2,0.000000e0,1.470588e-2
20500,205.0000,0.000000e0,68,4,64,-2.897365e4,-4.421028e-1,45,2,43,1.470588e-2,1.470588e-2,2.941176e-2
20600,206.0000,0.000000e0,68,4,64,-2.897477e4,-4.421199e-1,45,2,43,0.000000e0,1.470588e-2,1.470588e-2
20700,207.0000,0.000000e0,68,4,64,-2.897582e4,-4.421359e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
20800,208.0000,0.000000e0,68,4,64,-2.897680e4,-4.421509e-1,45,2,43,1.470588e-2,1.470588e-2,2.941176e-2
20900,209.0000,0.000000e0,68,4,64,-2.897775e4,-4.421653e-1,45,2,43,0.000000e0,1.470588e-2,1.470588e-2
21000,210.0000,0.000000e0,68,4,64,-2.897865e4,-4.421791e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
21100,211.0000,0.000000e0,68,4,64,-2.897952e4,-4.421924e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
21200,212.0000,0.000000e0,68,4,64,-2.898037e4,-4.422053e-1,45,2,43,-1.470588e-2,1.470588e-2,2.941176e-2
21300,213.0000,0.000000e0,68,4,64,-2.898119e4,-4.422178e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
21400,214.0000,0.000000e0,68,4,64,-2.898198e4,-4.422300e-1,45,2,43,0.000000e0,0.000000e0,2.941176e-2
21500,215.0000,0.000000e0,68,4,64,-2.898276e4,-4.422418e-1,45,2,43,1.470588e-2,1.470588e-2,2.941176e-2
21600,216.0000,0.000000e0,68,4,64,-2.898352e4,-4.422534e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
21700,217.0000,0.000000e0,68,4,64,-2.898427e4,-4.422648e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
21800,218.0000,0.000000e0,68,4,64,-2.898500e4,-4.422759e-1,45,2,43,0.000000e0,1.470588e-2,1.470588e-2
21900,219.0000,0.000000e0,68,4,64,-2.898571e4,-4.422869e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
22000,220.0000,0.000000e0,68,4,64,-2.898642e4,-4.422976e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
22100,221.0000,0.000000e0,68,4,64,-2.898711e4,-4.423082e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
22200,222.0000,0.000000e0,68,4,64,-2.898779e4,-4.423186e-1,45,2,43,0.000000e0,0.000000e0,0.000000e0
