# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.2
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
20100,201.0000,0.000000e0,69,5,64,-3.037887e4,-4.635448e-1,25,1,24,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,69,5,64,-3.038099e4,-4.635772e-1,25,1,24,-1.449275e-2,-1.449275e-2,2.898551e-2
20300,203.0000,0.000000e0,69,5,64,-3.038323e4,-4.636114e-1,25,1,24,1.449275e-2,-1.449275e-2,2.898551e-2
20400,204.0000,0.000000e0,69,5,64,-3.038563e4,-4.636480e-1,25,1,24,1.449275e-2,0.000000e0,1.449275e-2
20500,205.0000,0.000000e0,69,5,64,-3.038823e4,-4.636876e-1,26,1,25,-1.449275e-2,1.449275e-2,5.797101e-2
20600,206.0000,0.000000e0,69,5,64,-3.039105e4,-4.637306e-1,26,1,25,1.449275e-2,1.449275e-2,5.797101e-2
20700,207.0000,0.000000e0,69,5,64,-3.039412e4,-4.637774e-1,26,1,25,0.000000e0,-4.347826e-2,4.347826e-2
20800,208.0000,0.000000e0,69,5,64,-3.039752e4,-4.638294e-1,27,1,26,0.000000e0,0.000000e0,5.797101e-2
20900,209.0000,0.000000e0,69,5,64,-3.040143e4,-4.638890e-1,27,1,26,1.449275e-2,0.000000e0,1.449275e-2
21000,210.0000,0.000000e0,68,4,64,-3.040595e4,-4.639580e-1,26,1,25,1.470588e-2,-1.470588e-2,5.882353e-2
21100,211.0000,0.000000e0,68,4,64,-3.041049e4,-4.640272e-1,26,1,25,0.000000e0,-2.941176e-2,5.020902e-2
21200,212.0000,0.000000e0,68,4,64,-3.041415e4,-4.640832e-1,26,1,25,2.941176e-2,0.000000e0,2.941176e-2
21300,213.0000,0.000000e0,68,4,64,-3.041705e4,-4.641273e-1,26,1,25,2.941176e-2,0.000000e0,2.941176e-2
21400,214.0000,0.000000e0,68,4,64,-3.041952e4,-4.641651e-1,26,1,25,0.000000e0,2.941176e-2,2.941176e-2
21500,215.0000,0.000000e0,68,4,64,-3.042176e4,-4.641993e-1,26,1,25,1.470588e-2,1.470588e-2,5.882353e-2
21600,216.0000,0.000000e0,68,4,64,-3.042387e4,-4.642314e-1,26,1,25,-2.941176e-2,2.941176e-2,5.882353e-2
21700,217.0000,0.000000e0,68,4,64,-3.042590e4,-4.642623e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
21800,218.0000,0.000000e0,68,4,64,-3.042790e4,-4.642930e-1,26,1,25,-1.470588e-2,0.000000e0,4.411765e-2
21900,219.0000,0.000000e0,68,4,64,-3.042994e4,-4.643240e-1,26,1,25,1.470588e-2,1.470588e-2,2.941176e-2
22000,220.0000,0.000000e0,68,4,64,-3.043206e4,-4.643564e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
