# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=40000 relax_steps=4000 measure_steps=10000 sample_period=100
# nx=256 ny=256 dt=0.005 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
40100,200.5000,0.000000e0,69,5,64,-3.029196e4,-4.622186e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
40200,201.0000,0.000000e0,69,5,64,-3.029305e4,-4.622352e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
40300,201.5000,0.000000e0,69,5,64,-3.029412e4,-4.622516e-1,27,2,25,2.898551e-2,-5.797101e-2,6.997720e-2
40400,202.0000,0.000000e0,69,5,64,-3.029519e4,-4.622680e-1,27,2,25,0.000000e0,-2.898551e-2,2.898551e-2
40500,202.5000,0.000000e0,69,5,64,-3.029625e4,-4.622841e-1,27,2,25,0.000000e0,5.797101e-2,5.797101e-2
40600,203.0000,0.000000e0,69,5,64,-3.029731e4,-4.623002e-1,27,2,25,0.000000e0,-2.898551e-2,2.898551e-2
40700,203.5000,0.000000e0,69,5,64,-3.029835e4,-4.623162e-1,27,2,25,0.000000e0,2.898551e-2,2.898551e-2
40800,204.0000,0.000000e0,69,5,64,-3.029940e4,-4.623321e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
40900,204.5000,0.000000e0,69,5,64,-3.030045e4,-4.623481e-1,27,2,25,2.898551e-2,2.898551e-2,5.797101e-2
41000,205.0000,0.000000e0,69,5,64,-3.030151e4,-4.623643e-1,27,2,25,2.898551e-2,0.000000e0,2.898551e-2
41100,205.5000,0.000000e0,69,5,64,-3.030258e4,-4.623807e-1,27,2,25,0.000000e0,2.898551e-2,2.898551e-2
41200,206.0000,0.000000e0,69,5,64,-3.030368e4,-4.623975e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
41300,206.5000,0.000000e0,69,5,64,-3.030483e4,-4.624149e-1,27,2,25,0.000000e0,2.898551e-2,2.898551e-2
41400,207.0000,0.000000e0,69,5,64,-3.030602e4,-4.624332e-1,27,2,25,2.898551e-2,0.000000e0,2.898551e-2
41500,207.5000,0.000000e0,69,5,64,-3.030729e4,-4.624525e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
41600,208.0000,0.000000e0,69,5,64,-3.030865e4,-4.624733e-1,27,2,25,0.000000e0,2.898551e-2,2.898551e-2
41700,208.5000,0.000000e0,69,5,64,-3.031014e4,-4.624960e-1,27,2,25,5.797101e-2,0.000000e0,5.797101e-2
41800,209.0000,0.000000e0,69,5,64,-3.031177e4,-4.625210e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
41900,209.5000,0.000000e0,68,4,64,-3.031357e4,-4.625484e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
42000,210.0000,0.000000e0,68,4,64,-3.031548e4,-4.625775e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
42100,210.5000,0.000000e0,68,4,64,-3.031740e4,-4.626068e-1,26,2,24,0.000000e0,-2.941176e-2,2.941176e-2
42200,211.0000,0.000000e0,68,4,64,-3.031919e4,-4.626342e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
42300,211.5000,0.000000e0,68,4,64,-3.032079e4,-4.626585e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
42400,212.0000,0.000000e0,68,4,64,-3.032218e4,-4.626798e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
42500,212.5000,0.000000e0,68,4,64,-3.032342e4,-4.626987e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
42600,213.0000,0.000000e0,68,4,64,-3.032455e4,-4.627160e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
42700,213.5000,0.000000e0,68,4,64,-3.032560e4,-4.627320e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
42800,214.0000,0.000000e0,68,4,64,-3.032660e4,-4.627472e-1,26,2,24,2.941176e-2,2.941176e-2,5.882353e-2
42900,214.5000,0.000000e0,68,4,64,-3.032755e4,-4.627617e-1,26,2,24,-2.941176e-2,0.000000e0,2.941176e-2
43000,215.0000,0.000000e0,68,4,64,-3.032847e4,-4.627757e-1,26,2,24,0.000000e0,2.941176e-2,8.823529e-2
43100,215.5000,0.000000e0,68,4,64,-3.032936e4,-4.627893e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
43200,216.0000,0.000000e0,68,4,64,-3.033023e4,-4.628026e-1,26,2,24,0.000000e0,2.941176e-2,2.941176e-2
43300,216.5000,0.000000e0,68,4,64,-3.033109e4,-4.628157e-1,26,2,24,0.000000e0,0.000000e0,5.882353e-2
43400,217.0000,0.000000e0,68,4,64,-3.033194e4,-4.628287e-1,26,2,24,5.882353e-2,0.000000e0,5.882353e-2
43500,217.5000,0.000000e0,68,4,64,-3.033278e4,-4.628415e-1,26,2,24,0.000000e0,2.941176e-2,2.941176e-2
43600,218.0000,0.000000e0,68,4,64,-3.033362e4,-4.628543e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
43700,218.5000,0.000000e0,68,4,64,-3.033446e4,-4.628671e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
43800,219.0000,0.000000e0,68,4,64,-3.033530e4,-4.628799e-1,26,2,24,0.000000e0,0.000000e0,5.882353e-2
43900,219.5000,0.000000e0,68,4,64,-3.033615e4,-4.628929e-1,26,2,24,-2.941176e-2,0.000000e0,2.941176e-2
44000,220.0000,0.000000e0,68,4,64,-3.033701e4,-4.629060e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
44100,220.5000,0.000000e0,68,4,64,-3.033789e4,-4.629194e-1,26,2,24,0.000000e0,5.882353e-2,5.882353e-2
44200,221.0000,0.000000e0,68,4,64,-3.033879e4,-4.629332e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
44300,221.5000,0.000000e0,68,4,64,-3.033972e4,-4.629474e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
44400,222.0000,0.000000e0,68,4,64,-3.034069e4,-4.629623e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
44500,222.5000,0.000000e0,68,4,64,-3.034172e4,-4.629779e-1,26,2,24,0.000000e0,-2.941176e-2,2.941176e-2
44600,223.0000,0.000000e0,68,4,64,-3.034281e4,-4.629946e-1,26,2,24,2.941176e-2,0.000000e0,2.941176e-2
44700,223.5000,0.000000e0,68,4,64,-3.034399e4,-4.630125e-1,26,2,24,0.000000e0,5.882353e-2,5.882353e-2
44800,224.0000,0.000000e0,68,4,64,-3.034525e4,-4.630318e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
44900,224.5000,0.000000e0,67,3,64,-3.034660e4,-4.630524e-1,26,1,25,2.985075e-2,0.000000e0,2.985075e-2
45000,225.0000,0.000000e0,67,3,64,-3.034802e4,-4.630740e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
45100,225.5000,0.000000e0,67,3,64,-3.034945e4,-4.630958e-1,26,1,25,0.000000e0,-2.985075e-2,2.985075e-2
45200,226.0000,0.000000e0,67,3,64,-3.035082e4,-4.631168e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
45300,226.5000,0.000000e0,67,3,64,-3.035210e4,-4.631363e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
