# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
20100,201.0000,0.000000e0,209,0,209,-2.928746e4,-4.468912e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,209,0,209,-2.928792e4,-4.468981e-1,37,0,37,0.000000e0,0.000000e0,9.569378e-3
20300,203.0000,0.000000e0,209,0,209,-2.928836e4,-4.469050e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
20400,204.0000,0.000000e0,209,0,209,-2.928881e4,-4.469118e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
20500,205.0000,0.000000e0,209,0,209,-2.928925e4,-4.469185e-1,37,0,37,0.000000e0,0.000000e0,9.569378e-3
20600,206.0000,0.000000e0,209,0,209,-2.928968e4,-4.469251e-1,37,0,37,0.000000e0,-4.784689e-3,4.784689e-3
20700,207.0000,0.000000e0,209,0,209,-2.929012e4,-4.469317e-1,37,0,37,4.784689e-3,4.784689e-3,9.569378e-3
20800,208.0000,0.000000e0,209,0,209,-2.929055e4,-4.469383e-1,37,0,37,-4.784689e-3,-4.784689e-3,9.569378e-3
20900,209.0000,0.000000e0,209,0,209,-2.929097e4,-4.469448e-1,37,0,37,4.784689e-3,-4.784689e-3,1.913876e-2
21000,210.0000,0.000000e0,209,0,209,-2.929139e4,-4.469512e-1,37,0,37,4.784689e-3,0.000000e0,4.784689e-3
21100,211.0000,0.000000e0,209,0,209,-2.929181e4,-4.469576e-1,37,0,37,4.784689e-3,0.000000e0,4.784689e-3
21200,212.0000,0.000000e0,209,0,209,-2.929223e4,-4.469640e-1,37,0,37,-4.784689e-3,0.000000e0,1.435407e-2
21300,213.0000,0.000000e0,209,0,209,-2.929264e4,-4.469703e-1,37,0,37,-4.784689e-3,-1.435407e-2,2.870813e-2
21400,214.0000,0.000000e0,209,0,209,-2.929306e4,-4.469766e-1,37,0,37,4.784689e-3,0.000000e0,4.784689e-3
21500,215.0000,0.000000e0,209,0,209,-2.929346e4,-4.469828e-1,37,0,37,4.784689e-3,4.784689e-3,9.569378e-3
21600,216.0000,0.000000e0,209,0,209,-2.929387e4,-4.469890e-1,37,0,37,0.000000e0,-4.784689e-3,4.784689e-3
21700,217.0000,0.000000e0,209,0,209,-2.929428e4,-4.469952e-1,37,0,37,0.000000e0,-4.784689e-3,4.784689e-3
21800,218.0000,0.000000e0,209,0,209,-2.929468e4,-4.470014e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
21900,219.0000,0.000000e0,209,0,209,-2.929508e4,-4.470075e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
22000,220.0000,0.000000e0,209,0,209,-2.929549e4,-4.470136e-1,37,0,37,-9.569378e-3,0.000000e0,1.913876e-2
22100,221.0000,0.000000e0,209,0,209,-2.929589e4,-4.470197e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
22200,222.0000,0.000000e0,209,0,209,-2.929629e4,-4.470259e-1,37,0,37,4.784689e-3,-4.784689e-3,1.913876e-2
22300,223.0000,0.000000e0,209,0,209,-2.929669e4,-4.470320e-1,37,0,37,-4.784689e-3,0.000000e0,4.784689e-3
22400,224.0000,0.000000e0,209,0,209,-2.929709e4,-4.470381e-1,37,0,37,-4.784689e-3,-4.784689e-3,9.569378e-3
22500,225.0000,0.000000e0,209,0,209,-2.929749e4,-4.470443e-1,37,0,37,0.000000e0,0.000000e0,1.913876e-2
22600,226.0000,0.000000e0,209,0,209,-2.929790e4,-4.470504e-1,37,0,37,4.784689e-3,0.000000e0,1.435407e-2
22700,227.0000,0.000000e0,209,0,209,-2.929831e4,-4.470567e-1,37,0,37,4.784689e-3,-4.784689e-3,9.569378e-3
22800,228.0000,0.000000e0,209,0,209,-2.929872e4,-4.470630e-1,37,0,37,0.000000e0,9.569378e-3,9.569378e-3
22900,229.0000,0.000000e0,209,0,209,-2.929914e4,-4.470694e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
23000,230.0000,0.000000e0,209,0,209,-2.929957e4,-4.470759e-1,37,0,37,-4.784689e-3,9.569378e-3,1.435407e-2
23100,231.0000,0.000000e0,209,0,209,-2.930000e4,-4.470826e-1,37,0,37,0.000000e0,9.569378e-3,9.569378e-3
23200,232.0000,0.000000e0,209,0,209,-2.930046e4,-4.470895e-1,37,0,37,0.000000e0,0.000000e0,0.000000e0
23300,233.0000,0.000000e0,209,0,209,-2.930093e4,-4.470967e-1,37,0,37,-4.784689e-3,-4.784689e-3,9.569378e-3
23400,234.0000,0.000000e0,209,0,209,-2.930142e4,-4.471042e-1,37,0,37,-4.784689e-3,0.000000e0,4.784689e-3
23500,235.0000,0.000000e0,209,0,209,-2.930195e4,-4.471122e-1,37,0,37,4.784689e-3,0.000000e0,2.392344e-2
23600,236.0000,0.000000e0,209,0,209,-2.930251e4,-4.471208e-1,37,0,37,-4.784689e-3,4.784689e-3,9.569378e-3
23700,237.0000,0.000000e0,209,0,209,-2.930312e4,-4.471301e-1,37,0,37,0.000000e0,4.784689e-3,1.435407e-2
23800,238.0000,0.000000e0,209,0,209,-2.930377e4,-4.471400e-1,37,0,37,-4.784689e-3,0.000000e0,1.435407e-2
23900,239.0000,0.000000e0,209,0,209,-2.930444e4,-4.471503e-1,38,0,38,1.435407e-2,0.000000e0,1.435407e-2
24000,240.0000,0.000000e0,209,0,209,-2.930513e4,-4.471607e-1,38,0,38,-4.784689e-3,0.000000e0,4.784689e-3
24100,241.0000,0.000000e0,209,0,209,-2.930579e4,-4.471708e-1,38,0,38,4.784689e-3,-9.569378e-3,2.112064e-2
