# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.04 kappa_step=0.005 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/9)
20100,201.0000,0.000000e0,69,5,64,-3.029272e4,-4.622301e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,69,5,64,-3.029488e4,-4.622631e-1,27,2,25,1.449275e-2,-2.898551e-2,6.397411e-2
20300,203.0000,0.000000e0,69,5,64,-3.029702e4,-4.622958e-1,27,2,25,0.000000e0,0.000000e0,2.898551e-2
20400,204.0000,0.000000e0,69,5,64,-3.029914e4,-4.623281e-1,27,2,25,1.449275e-2,1.449275e-2,2.898551e-2
20500,205.0000,0.000000e0,69,5,64,-3.030127e4,-4.623607e-1,27,2,25,0.000000e0,1.449275e-2,1.449275e-2
20600,206.0000,0.000000e0,69,5,64,-3.030346e4,-4.623941e-1,27,2,25,1.449275e-2,1.449275e-2,2.898551e-2
20700,207.0000,0.000000e0,69,5,64,-3.030580e4,-4.624299e-1,27,2,25,1.449275e-2,1.449275e-2,2.898551e-2
20800,208.0000,0.000000e0,69,5,64,-3.030843e4,-4.624699e-1,27,2,25,0.000000e0,0.000000e0,0.000000e0
20900,209.0000,0.000000e0,69,5,64,-3.031154e4,-4.625173e-1,27,2,25,4.347826e-2,1.449275e-2,5.797101e-2
21000,210.0000,0.000000e0,68,4,64,-3.031523e4,-4.625736e-1,26,2,24,1.470588e-2,0.000000e0,1.470588e-2
21100,211.0000,0.000000e0,68,4,64,-3.031897e4,-4.626307e-1,26,2,24,0.000000e0,-1.470588e-2,1.470588e-2
21200,212.0000,0.000000e0,68,4,64,-3.032200e4,-4.626770e-1,26,2,24,1.470588e-2,0.000000e0,1.470588e-2
21300,213.0000,0.000000e0,68,4,64,-3.032440e4,-4.627136e-1,26,2,24,0.000000e0,0.000000e0,0.000000e0
21400,214.0000,0.000000e0,68,4,64,-3.032645e4,-4.627450e-1,26,2,24,0.000000e0,1.470588e-2,4.411765e-2
21500,215.0000,0.000000e0,68,4,64,-3.032833e4,-4.627736e-1,26,2,24,0.000000e0,0.000000e0,2.941176e-2
21600,216.0000,0.000000e0,68,4,64,-3.033010e4,-4.628006e-1,26,2,24,1.470588e-2,2.941176e-2,4.411765e-2
21700,217.0000,0.000000e0,68,4,64,-3.033181e4,-4.628267e-1,26,2,24,2.941176e-2,2.941176e-2,5.882353e-2
21800,218.0000,0.000000e0,68,4,64,-3.033349e4,-4.628523e-1,26,2,24,0.000000e0,-1.470588e-2,1.470588e-2
21900,219.0000,0.000000e0,68,4,64,-3.033516e4,-4.628778e-1,26,2,24,0.000000e0,0.000000e0,2.941176e-2
22000,220.0000,0.000000e0,68,4,64,-3.033686e4,-4.629038e-1,26,2,24,0.000000e0,0.000000e0,2.941176e-2
22100,221.0000,0.000000e0,68,4,64,-3.033862e4,-4.629306e-1,26,2,24,1.470588e-2,2.941176e-2,4.411765e-2
22200,222.0000,0.000000e0,68,4,64,-3.034050e4,-4.629592e-1,26,2,24,1.470588e-2,0.000000e0,1.470588e-2
22300,223.0000,0.000000e0,68,4,64,-3.034256e4,-4.629907e-1,26,2,24,1.470588e-2,-1.470588e-2,2.941176e-2
22400,224.0000,0.000000e0,68,4,64,-3.034492e4,-4.630268e-1,26,2,24,0.000000e0,2.941176e-2,2.941176e-2
22500,225.0000,0.000000e0,67,3,64,-3.034764e4,-4.630682e-1,26,1,25,1.492537e-2,0.000000e0,1.492537e-2
22600,226.0000,0.000000e0,67,3,64,-3.035048e4,-4.631115e-1,26,1,25,0.000000e0,-1.492537e-2,1.492537e-2
22700,227.0000,0.000000e0,67,3,64,-3.035302e4,-4.631504e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
22800,228.0000,0.000000e0,67,3,64,-3.035515e4,-4.631828e-1,26,1,25,0.000000e0,1.492537e-2,1.492537e-2
22900,229.0000,0.000000e0,67,3,64,-3.035699e4,-4.632109e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
23000,230.0000,0.000000e0,67,3,64,-3.035866e4,-4.632365e-1,26,1,25,1.492537e-2,-1.492537e-2,2.985075e-2
23100,231.0000,0.000000e0,67,3,64,-3.036025e4,-4.632607e-1,26,1,25,0.000000e0,-1.492537e-2,1.492537e-2
23200,232.0000,0.000000e0,67,3,64,-3.036179e4,-4.632841e-1,26,1,25,1.492537e-2,-1.492537e-2,2.985075e-2
23300,233.0000,0.000000e0,67,3,64,-3.036330e4,-4.633073e-1,26,1,25,0.000000e0,-4.477612e-2,6.588378e-2
23400,234.0000,0.000000e0,67,3,64,-3.036483e4,-4.633306e-1,26,1,25,0.000000e0,0.000000e0,2.985075e-2
23500,235.0000,0.000000e0,67,3,64,-3.036640e4,-4.633545e-1,26,1,25,-1.492537e-2,-1.492537e-2,2.985075e-2
23600,236.0000,0.000000e0,67,3,64,-3.036805e4,-4.633797e-1,26,1,25,1.492537e-2,0.000000e0,3.603304e-2
23700,237.0000,0.000000e0,67,3,64,-3.036985e4,-4.634071e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
23800,238.0000,0.000000e0,67,3,64,-3.037187e4,-4.634380e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
23900,239.0000,0.000000e0,67,3,64,-3.037425e4,-4.634743e-1,26,1,25,1.492537e-2,0.000000e0,3.603304e-2
24000,240.0000,0.000000e0,66,2,64,-3.037706e4,-4.635172e-1,26,0,26,0.000000e0,-1.515152e-2,4.545455e-2
24100,241.0000,0.000000e0,66,2,64,-3.038005e4,-4.635628e-1,26,0,26,3.030303e-2,-1.515152e-2,4.545455e-2
24200,242.0000,0.000000e0,66,2,64,-3.038273e4,-4.636036e-1,26,0,26,-1.515152e-2,-1.515152e-2,3.030303e-2
24300,243.0000,0.000000e0,66,2,64,-3.038500e4,-4.636383e-1,26,0,26,0.000000e0,0.000000e0,0.000000e0
24400,244.0000,0.000000e0,66,2,64,-3.038705e4,-4.636696e-1,26,0,26,0.000000e0,-1.515152e-2,1.515152e-2
24500,245.0000,0.000000e0,66,2,64,-3.038900e4,-4.636994e-1,27,0,27,-1.515152e-2,0.000000e0,1.515152e-2
24600,246.0000,0.000000e0,66,2,64,-3.039088e4,-4.637280e-1,27,0,27,0.000000e0,-1.515152e-2,4.545455e-2
24700,247.0000,0.000000e0,66,2,64,-3.039267e4,-4.637554e-1,27,0,27,-1.515152e-2,-1.515152e-2,2.142748e-2
24800,248.0000,0.000000e0,66,2,64,-3.039438e4,-4.637814e-1,27,0,27,0.000000e0,1.515152e-2,1.515152e-2
24900,249.0000,0.000000e0,66,2,64,-3.039603e4,-4.638065e-1,27,0,27,1.515152e-2,0.000000e0,1.515152e-2
25000,250.0000,0.000000e0,66,2,64,-3.039766e4,-4.638315e-1,28,0,28,0.000000e0,-1.515152e-2,1.515152e-2
# sweep_kappa=0.005 begin_step=25000 (index=2/9)
27100,271.0000,5.000000e-3,66,2,64,-3.042220e4,-4.642059e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
27200,272.0000,5.000000e-3,66,2,64,-3.042311e4,-4.642198e-1,29,0,29,0.000000e0,0.000000e0,3.030303e-2
27300,273.0000,5.000000e-3,66,2,64,-3.042396e4,-4.642328e-1,29,0,29,0.000000e0,-1.515152e-2,4.545455e-2
27400,274.0000,5.000000e-3,66,2,64,-3.042476e4,-4.642450e-1,29,0,29,-1.515152e-2,-1.515152e-2,3.030303e-2
27500,275.0000,5.000000e-3,66,2,64,-3.042552e4,-4.642567e-1,29,0,29,1.515152e-2,0.000000e0,1.515152e-2
27600,276.0000,5.000000e-3,66,2,64,-3.042626e4,-4.642679e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
27700,277.0000,5.000000e-3,66,2,64,-3.042697e4,-4.642787e-1,29,0,29,0.000000e0,1.515152e-2,1.515152e-2
27800,278.0000,5.000000e-3,66,2,64,-3.042766e4,-4.642893e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
27900,279.0000,5.000000e-3,66,2,64,-3.042834e4,-4.642996e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
28000,280.0000,5.000000e-3,66,2,64,-3.042901e4,-4.643098e-1,29,0,29,1.515152e-2,0.000000e0,4.545455e-2
28100,281.0000,5.000000e-3,66,2,64,-3.042966e4,-4.643198e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
28200,282.0000,5.000000e-3,66,2,64,-3.043031e4,-4.643297e-1,29,0,29,3.030303e-2,0.000000e0,3.030303e-2
28300,283.0000,5.000000e-3,66,2,64,-3.043095e4,-4.643395e-1,29,0,29,0.000000e0,-1.515152e-2,1.515152e-2
