# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=512 ny=512 dt=0.01 dx=0.5 flux_n=64 phi=0.0015339808 B=0.0061359233 seed=1234
# defects: mode=lattice count=64 radius=6 spacing=64 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
20100,201.0000,0.000000e0,70,6,64,-3.025561e4,-4.616640e-1,23,1,22,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,70,6,64,-3.025706e4,-4.616861e-1,23,1,22,-1.428571e-2,7.142857e-3,1.724438e-2
20300,203.0000,0.000000e0,70,6,64,-3.025857e4,-4.617091e-1,23,1,22,-2.142857e-2,-7.142857e-3,2.857143e-2
20400,204.0000,0.000000e0,70,6,64,-3.026012e4,-4.617329e-1,23,1,22,7.142857e-3,0.000000e0,2.142857e-2
20500,205.0000,0.000000e0,70,6,64,-3.026171e4,-4.617571e-1,24,1,23,0.000000e0,0.000000e0,2.438724e-2
20600,206.0000,0.000000e0,70,6,64,-3.026328e4,-4.617810e-1,24,1,23,-7.142857e-3,7.142857e-3,1.010153e-2
20700,207.0000,0.000000e0,70,6,64,-3.026479e4,-4.618040e-1,24,1,23,-2.142857e-2,-7.142857e-3,2.857143e-2
20800,208.0000,0.000000e0,70,6,64,-3.026621e4,-4.618257e-1,24,1,23,0.000000e0,7.142857e-3,2.142857e-2
20900,209.0000,0.000000e0,70,6,64,-3.026757e4,-4.618464e-1,24,1,23,7.142857e-3,7.142857e-3,1.428571e-2
21000,210.0000,0.000000e0,70,6,64,-3.026888e4,-4.618664e-1,24,1,23,-7.142857e-3,-7.142857e-3,2.857143e-2
