# mode=headless steps=10000 sample_period=1000
# nx=256 ny=256 dt=0.01 dx=1 flux_n=0 phi=0 kappa=0 B=0 seed=42
# defects: mode=random count=0 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
1000,10.0000,0.000000e0,147,147,0,-2.698110e4,-4.116989e-1,0,0,0,0.000000e0,0.000000e0,0.000000e0
2000,20.0000,0.000000e0,99,99,0,-2.908831e4,-4.438525e-1,0,0,0,7.070707e-3,1.919192e-2,1.305516e-1
3000,30.0000,0.000000e0,69,69,0,-3.000255e4,-4.578026e-1,0,0,0,-7.246377e-3,-1.449275e-3,9.418247e-2
4000,40.0000,0.000000e0,59,59,0,-3.047700e4,-4.650420e-1,0,0,0,-8.474576e-3,3.389831e-3,7.042335e-2
5000,50.0000,0.000000e0,50,50,0,-3.077376e4,-4.695704e-1,0,0,0,8.000000e-3,2.000000e-3,7.805697e-2
6000,60.0000,0.000000e0,45,45,0,-3.098971e4,-4.728655e-1,0,0,0,-6.167906e-19,2.222222e-3,6.473109e-2
7000,70.0000,0.000000e0,41,41,0,-3.114075e4,-4.751701e-1,0,0,0,2.439024e-3,7.317073e-3,6.400644e-2
8000,80.0000,0.000000e0,35,35,0,-3.130250e4,-4.776382e-1,0,0,0,-2.857143e-3,0.000000e0,6.826549e-2
9000,90.0000,0.000000e0,30,30,0,-3.144844e4,-4.798651e-1,0,0,0,-3.333333e-3,1.000000e-2,3.804738e-2
10000,100.0000,0.000000e0,29,29,0,-3.151451e4,-4.808732e-1,0,0,0,-3.448276e-3,6.896552e-3,6.635393e-2
