# mode=headless steps=10000 sample_period=1000
# nx=256 ny=256 dt=0.01 dx=1 flux_n=0 phi=0 kappa=0 B=0 seed=42
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
1000,10.0000,0.000000e0,151,151,0,-2.603907e4,-3.973246e-1,7,8,-1,0.000000e0,0.000000e0,0.000000e0
2000,20.0000,0.000000e0,98,98,0,-2.811761e4,-4.290407e-1,7,7,0,2.040816e-3,2.040816e-2,1.329879e-1
3000,30.0000,0.000000e0,72,72,0,-2.894676e4,-4.416925e-1,5,7,-2,-1.666667e-2,2.777778e-3,1.044529e-1
4000,40.0000,0.000000e0,57,57,0,-2.944138e4,-4.492397e-1,4,4,0,-1.228070e-2,5.263158e-3,7.496127e-2
5000,50.0000,0.000000e0,48,48,0,-2.974120e4,-4.538146e-1,5,4,1,-4.166667e-3,-2.083333e-3,7.447435e-2
6000,60.0000,0.000000e0,47,47,0,-2.990822e4,-4.563632e-1,5,5,0,2.127660e-3,1.063830e-2,7.600287e-2
7000,70.0000,0.000000e0,43,43,0,-3.007582e4,-4.589206e-1,5,5,0,-6.454785e-19,1.395349e-2,6.186308e-2
8000,80.0000,0.000000e0,39,39,0,-3.020070e4,-4.608262e-1,6,5,1,2.564103e-3,1.538462e-2,5.182972e-2
9000,90.0000,0.000000e0,37,37,0,-3.029944e4,-4.623328e-1,6,5,1,5.405405e-3,2.702703e-3,6.615867e-2
10000,100.0000,0.000000e0,34,34,0,-3.039141e4,-4.637362e-1,5,5,0,8.163405e-19,2.941176e-3,5.071365e-2
