# mode=headless steps=10000 sample_period=1000
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 kappa=0 B=0.0061359233 seed=42
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
1000,10.0000,0.000000e0,174,110,64,-2.633502e4,-4.018405e-1,13,4,9,0.000000e0,0.000000e0,0.000000e0
2000,20.0000,0.000000e0,136,72,64,-2.819406e4,-4.302073e-1,10,5,5,2.941176e-3,1.838235e-2,1.195357e-1
3000,30.0000,0.000000e0,107,43,64,-2.903616e4,-4.430567e-1,9,4,5,1.401869e-2,9.345794e-3,8.106592e-2
4000,40.0000,0.000000e0,93,29,64,-2.948336e4,-4.498804e-1,10,4,6,1.182796e-2,-2.150538e-3,6.583483e-2
5000,50.0000,0.000000e0,89,25,64,-2.972620e4,-4.535858e-1,10,4,6,1.123596e-3,6.741573e-3,6.679693e-2
6000,60.0000,0.000000e0,86,22,64,-2.988432e4,-4.559986e-1,10,3,7,-3.488372e-3,-1.162791e-3,5.384551e-2
7000,70.0000,0.000000e0,78,14,64,-3.005946e4,-4.586709e-1,10,3,7,1.282051e-3,-3.846154e-3,4.902903e-2
8000,80.0000,0.000000e0,77,13,64,-3.016457e4,-4.602748e-1,11,3,8,6.493506e-3,-3.896104e-3,4.674118e-2
9000,90.0000,0.000000e0,75,11,64,-3.024422e4,-4.614902e-1,11,3,8,4.000000e-3,1.200000e-2,3.577124e-2
10000,100.0000,0.000000e0,75,11,64,-3.028733e4,-4.621479e-1,11,3,8,1.066667e-2,1.333333e-3,3.341933e-2
