# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=42
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,30,4.156663e-2,3.767408e-3,2.853349e-3,6.400000e1,6.566667e0,-4.633547e-1
5.000000e-3,30,2.625587e-2,2.565542e-3,3.088008e-3,6.400000e1,8.666667e0,-4.659777e-1
1.000000e-2,30,1.803714e-2,-5.305040e-4,1.591512e-3,6.400000e1,9.800000e0,-4.673602e-1
1.500000e-2,30,1.167109e-2,-4.774536e-3,1.591512e-3,6.400000e1,1.000000e1,-4.676653e-1
2.000000e-2,30,1.220159e-2,-4.244032e-3,2.652520e-3,6.400000e1,1.000000e1,-4.677942e-1
2.500000e-2,30,1.273210e-2,-7.427056e-3,2.122016e-3,6.400000e1,1.100000e1,-4.679733e-1
3.000000e-2,30,1.878738e-2,-1.485411e-2,3.183024e-3,6.400000e1,1.120000e1,-4.680723e-1
3.500000e-2,30,1.538462e-2,-1.061008e-2,5.305040e-4,6.400000e1,1.296667e1,-4.683032e-1
4.000000e-2,30,1.538462e-2,-9.549072e-3,-5.305040e-4,6.400000e1,1.300000e1,-4.683760e-1
4.499999e-2,30,1.485411e-2,-1.273210e-2,2.122016e-3,6.400000e1,1.400000e1,-4.684951e-1
4.999999e-2,30,1.538462e-2,-1.326260e-2,-2.122016e-3,6.400000e1,1.400000e1,-4.685409e-1
