# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=42
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/11)
10100,101.0000,0.000000e0,75,11,64,-3.029155e4,-4.622123e-1,11,3,8,0.000000e0,0.000000e0,0.000000e0
10200,102.0000,0.000000e0,75,11,64,-3.029601e4,-4.622804e-1,11,3,8,1.333333e-2,-1.333333e-2,2.666667e-2
10300,103.0000,0.000000e0,75,11,64,-3.030093e4,-4.623555e-1,11,3,8,-1.333333e-2,0.000000e0,4.000000e-2
10400,104.0000,0.000000e0,75,11,64,-3.030674e4,-4.624442e-1,11,3,8,2.666667e-2,1.333333e-2,1.043790e-1
10500,105.0000,0.000000e0,74,10,64,-3.031391e4,-4.625536e-1,11,3,8,-2.702703e-2,2.702703e-2,5.405405e-2
10600,106.0000,0.000000e0,74,10,64,-3.032141e4,-4.626680e-1,11,3,8,-1.351351e-2,0.000000e0,1.351351e-2
10700,107.0000,0.000000e0,74,10,64,-3.032772e4,-4.627643e-1,11,3,8,0.000000e0,-4.054054e-2,4.054054e-2
10800,108.0000,0.000000e0,74,10,64,-3.033340e4,-4.628510e-1,11,4,7,4.054054e-2,-1.351351e-2,8.108108e-2
10900,109.0000,0.000000e0,74,10,64,-3.033903e4,-4.629369e-1,11,4,7,1.351351e-2,-1.351351e-2,2.702703e-2
11000,110.0000,0.000000e0,73,9,64,-3.034474e4,-4.630241e-1,10,4,6,-1.369863e-2,0.000000e0,1.369863e-2
11100,111.0000,0.000000e0,73,9,64,-3.035018e4,-4.631070e-1,10,4,6,1.369863e-2,0.000000e0,1.369863e-2
11200,112.0000,0.000000e0,73,9,64,-3.035502e4,-4.631809e-1,10,4,6,-4.109589e-2,1.369863e-2,8.219178e-2
11300,113.0000,0.000000e0,73,9,64,-3.035939e4,-4.632476e-1,10,4,6,2.739726e-2,2.739726e-2,5.479452e-2
11400,114.0000,0.000000e0,73,9,64,-3.036353e4,-4.633107e-1,10,4,6,4.109589e-2,1.369863e-2,7.416731e-2
11500,115.0000,0.000000e0,73,9,64,-3.036761e4,-4.633730e-1,10,4,6,0.000000e0,1.369863e-2,1.369863e-2
11600,116.0000,0.000000e0,73,9,64,-3.037179e4,-4.634367e-1,10,4,6,1.369863e-2,2.739726e-2,4.109589e-2
11700,117.0000,0.000000e0,73,9,64,-3.037619e4,-4.635039e-1,10,4,6,1.369863e-2,2.739726e-2,4.109589e-2
11800,118.0000,0.000000e0,72,8,64,-3.038090e4,-4.635758e-1,10,3,7,0.000000e0,0.000000e0,5.555556e-2
11900,119.0000,0.000000e0,72,8,64,-3.038587e4,-4.636516e-1,10,4,6,-1.388889e-2,0.000000e0,1.388889e-2
12000,120.0000,0.000000e0,71,7,64,-3.039086e4,-4.637277e-1,9,3,6,-1.408451e-2,2.816901e-2,7.042254e-2
12100,121.0000,0.000000e0,71,7,64,-3.039556e4,-4.637994e-1,9,3,6,0.000000e0,-1.408451e-2,1.408451e-2
12200,122.0000,0.000000e0,71,7,64,-3.039976e4,-4.638635e-1,9,3,6,2.816901e-2,-1.408451e-2,4.225352e-2
12300,123.0000,0.000000e0,71,7,64,-3.040353e4,-4.639210e-1,9,3,6,4.225352e-2,2.816901e-2,7.042254e-2
12400,124.0000,0.000000e0,71,7,64,-3.040700e4,-4.639740e-1,9,3,6,-1.408451e-2,1.408451e-2,4.808751e-2
12500,125.0000,0.000000e0,71,7,64,-3.041030e4,-4.640243e-1,9,3,6,-1.408451e-2,1.408451e-2,2.816901e-2
12600,126.0000,0.000000e0,71,7,64,-3.041348e4,-4.640729e-1,9,3,6,0.000000e0,-1.408451e-2,1.408451e-2
12700,127.0000,0.000000e0,71,7,64,-3.041663e4,-4.641209e-1,9,3,6,0.000000e0,-4.225352e-2,4.225352e-2
12800,128.0000,0.000000e0,71,7,64,-3.041978e4,-4.641690e-1,9,3,6,-1.408451e-2,0.000000e0,1.408451e-2
12900,129.0000,0.000000e0,71,7,64,-3.042302e4,-4.642185e-1,9,3,6,0.000000e0,-1.408451e-2,4.225352e-2
13000,130.0000,0.000000e0,71,7,64,-3.042646e4,-4.642710e-1,9,3,6,1.408451e-2,1.408451e-2,2.816901e-2
# sweep_kappa=0.005 begin_step=13000 (index=2/11)
15100,151.0000,5.000000e-3,67,3,64,-3.051330e4,-4.655961e-1,9,1,8,0.000000e0,0.000000e0,0.000000e0
15200,152.0000,5.000000e-3,67,3,64,-3.051538e4,-4.656278e-1,9,1,8,1.492537e-2,0.000000e0,1.492537e-2
15300,153.0000,5.000000e-3,67,3,64,-3.051735e4,-4.656578e-1,9,1,8,0.000000e0,1.492537e-2,1.492537e-2
15400,154.0000,5.000000e-3,67,3,64,-3.051922e4,-4.656864e-1,9,1,8,1.492537e-2,-1.492537e-2,5.970149e-2
15500,155.0000,5.000000e-3,67,3,64,-3.052103e4,-4.657140e-1,9,1,8,1.492537e-2,0.000000e0,1.492537e-2
15600,156.0000,5.000000e-3,67,3,64,-3.052279e4,-4.657408e-1,9,1,8,-1.492537e-2,-1.492537e-2,5.970149e-2
15700,157.0000,5.000000e-3,67,3,64,-3.052451e4,-4.657670e-1,9,1,8,1.492537e-2,0.000000e0,1.492537e-2
15800,158.0000,5.000000e-3,67,3,64,-3.052620e4,-4.657928e-1,9,1,8,-1.492537e-2,-1.492537e-2,2.985075e-2
15900,159.0000,5.000000e-3,67,3,64,-3.052787e4,-4.658184e-1,9,1,8,0.000000e0,-2.985075e-2,2.985075e-2
16000,160.0000,5.000000e-3,67,3,64,-3.052954e4,-4.658438e-1,9,1,8,0.000000e0,2.985075e-2,2.985075e-2
16100,161.0000,5.000000e-3,67,3,64,-3.053120e4,-4.658692e-1,10,1,9,0.000000e0,0.000000e0,2.985075e-2
16200,162.0000,5.000000e-3,67,3,64,-3.053287e4,-4.658946e-1,10,1,9,0.000000e0,1.492537e-2,1.492537e-2
