# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=42
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,30,4.047707e-2,-2.978055e-3,-8.818868e-4,6.400000e1,1.130000e1,-4.591495e-1
5.000000e-3,30,3.329230e-2,-4.647608e-3,3.119200e-3,6.400000e1,1.543333e1,-4.618859e-1
1.000000e-2,30,2.237640e-2,-4.702194e-3,7.836991e-3,6.400000e1,1.726667e1,-4.629438e-1
1.500000e-2,30,1.954998e-2,-4.840849e-3,4.293767e-3,6.400000e1,1.900000e1,-4.637755e-1
2.000000e-2,30,1.477059e-2,-6.465517e-3,1.077586e-3,6.400000e1,1.973333e1,-4.641560e-1
2.500000e-2,30,1.239224e-2,-5.387931e-3,1.616379e-3,6.400000e1,2.000000e1,-4.643047e-1
3.000000e-2,30,1.454741e-2,-9.159483e-3,3.232759e-3,6.400000e1,2.000000e1,-4.643634e-1
3.500000e-2,30,1.530938e-2,-9.698276e-3,-3.771552e-3,6.400000e1,2.073333e1,-4.644610e-1
4.000000e-2,30,1.831897e-2,-1.239224e-2,5.387931e-4,6.400000e1,2.100000e1,-4.645029e-1
4.499999e-2,30,2.155172e-2,-1.400862e-2,3.232759e-3,6.400000e1,2.130000e1,-4.645258e-1
4.999999e-2,30,1.831897e-2,-1.131466e-2,2.693966e-3,6.400000e1,2.400000e1,-4.647269e-1
