# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=32 phi=0.0030679617 B=0.0030679617 seed=42
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,30,3.681214e-2,7.916960e-3,-6.597467e-4,3.200000e1,7.666667e0,-4.604773e-1
5.000000e-3,30,3.527883e-2,3.847907e-3,2.441473e-3,3.200000e1,7.600000e0,-4.633782e-1
1.000000e-2,30,2.929220e-2,-3.364172e-3,-6.728343e-3,3.200000e1,8.800000e0,-4.651642e-1
1.500000e-2,30,3.205213e-2,-7.677372e-3,-3.573733e-3,3.200000e1,9.500000e0,-4.666976e-1
2.000000e-2,30,1.436782e-2,-4.789272e-3,-1.915709e-3,3.200000e1,1.100000e1,-4.679587e-1
2.500000e-2,30,1.773399e-2,-7.881773e-3,5.911330e-3,3.200000e1,1.100000e1,-4.684706e-1
3.000000e-2,30,1.576355e-2,-2.955665e-3,4.926108e-3,3.200000e1,1.200000e1,-4.686689e-1
3.500000e-2,30,1.280788e-2,-8.866995e-3,1.970443e-3,3.200000e1,1.200000e1,-4.686924e-1
4.000000e-2,30,1.182266e-2,-4.926108e-3,2.955665e-3,3.200000e1,1.200000e1,-4.686757e-1
4.499999e-2,30,1.280788e-2,-4.926108e-3,-1.970443e-3,3.200000e1,1.300000e1,-4.687218e-1
4.999999e-2,30,1.924080e-2,-1.115619e-2,4.027818e-3,3.200000e1,1.400000e1,-4.690191e-1
