# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=42
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/11)
10100,101.0000,0.000000e0,75,11,64,-2.996204e4,-4.571845e-1,14,4,10,0.000000e0,0.000000e0,0.000000e0
10200,102.0000,0.000000e0,73,9,64,-2.998000e4,-4.574585e-1,14,4,10,-1.369863e-2,-1.369863e-2,1.015646e-1
10300,103.0000,0.000000e0,72,8,64,-2.999937e4,-4.577540e-1,14,3,11,0.000000e0,-5.555556e-2,7.519741e-2
10400,104.0000,0.000000e0,71,7,64,-3.001733e4,-4.580281e-1,14,3,11,0.000000e0,0.000000e0,2.816901e-2
10500,105.0000,0.000000e0,71,7,64,-3.003210e4,-4.582535e-1,14,3,11,-1.408451e-2,-1.408451e-2,5.633803e-2
10600,106.0000,0.000000e0,71,7,64,-3.004364e4,-4.584296e-1,15,3,12,2.816901e-2,0.000000e0,5.633803e-2
10700,107.0000,0.000000e0,70,6,64,-3.005316e4,-4.585748e-1,14,2,12,-1.428571e-2,0.000000e0,6.306019e-2
10800,108.0000,0.000000e0,70,6,64,-3.006128e4,-4.586987e-1,14,2,12,0.000000e0,0.000000e0,0.000000e0
10900,109.0000,0.000000e0,70,6,64,-3.006826e4,-4.588052e-1,14,2,12,1.428571e-2,1.428571e-2,2.857143e-2
11000,110.0000,0.000000e0,70,6,64,-3.007438e4,-4.588986e-1,14,2,12,-1.428571e-2,1.428571e-2,5.714286e-2
11100,111.0000,0.000000e0,70,6,64,-3.007992e4,-4.589831e-1,14,2,12,1.428571e-2,0.000000e0,1.428571e-2
11200,112.0000,0.000000e0,70,6,64,-3.008506e4,-4.590616e-1,14,2,12,-1.428571e-2,-2.857143e-2,7.142857e-2
11300,113.0000,0.000000e0,70,6,64,-3.008994e4,-4.591360e-1,14,2,12,0.000000e0,0.000000e0,0.000000e0
11400,114.0000,0.000000e0,70,6,64,-3.009468e4,-4.592084e-1,14,2,12,1.428571e-2,1.428571e-2,2.857143e-2
11500,115.0000,0.000000e0,70,6,64,-3.009942e4,-4.592807e-1,14,2,12,0.000000e0,1.428571e-2,4.285714e-2
11600,116.0000,0.000000e0,70,6,64,-3.010430e4,-4.593551e-1,14,2,12,-1.428571e-2,-1.428571e-2,2.857143e-2
11700,117.0000,0.000000e0,69,5,64,-3.010938e4,-4.594326e-1,13,2,11,0.000000e0,1.449275e-2,1.449275e-2
11800,118.0000,0.000000e0,69,5,64,-3.011443e4,-4.595097e-1,13,2,11,-2.898551e-2,0.000000e0,2.898551e-2
11900,119.0000,0.000000e0,69,5,64,-3.011905e4,-4.595802e-1,13,2,11,0.000000e0,0.000000e0,2.898551e-2
12000,120.0000,0.000000e0,69,5,64,-3.012317e4,-4.596431e-1,13,2,11,0.000000e0,0.000000e0,2.898551e-2
12100,121.0000,0.000000e0,69,5,64,-3.012693e4,-4.597004e-1,13,2,11,1.449275e-2,-1.449275e-2,5.797101e-2
12200,122.0000,0.000000e0,69,5,64,-3.013044e4,-4.597540e-1,13,2,11,-1.449275e-2,1.449275e-2,5.797101e-2
12300,123.0000,0.000000e0,69,5,64,-3.013378e4,-4.598050e-1,13,2,11,0.000000e0,0.000000e0,2.898551e-2
12400,124.0000,0.000000e0,69,5,64,-3.013700e4,-4.598541e-1,13,2,11,0.000000e0,1.449275e-2,4.347826e-2
12500,125.0000,0.000000e0,69,5,64,-3.014011e4,-4.599016e-1,13,2,11,0.000000e0,2.898551e-2,2.898551e-2
12600,126.0000,0.000000e0,69,5,64,-3.014315e4,-4.599480e-1,13,2,11,-4.347826e-2,-2.898551e-2,7.246377e-2
12700,127.0000,0.000000e0,69,5,64,-3.014614e4,-4.599936e-1,13,2,11,0.000000e0,2.898551e-2,2.898551e-2
12800,128.0000,0.000000e0,69,5,64,-3.014910e4,-4.600387e-1,13,2,11,2.898551e-2,-1.449275e-2,4.347826e-2
12900,129.0000,0.000000e0,69,5,64,-3.015205e4,-4.600838e-1,13,2,11,0.000000e0,0.000000e0,0.000000e0
13000,130.0000,0.000000e0,69,5,64,-3.015502e4,-4.601290e-1,13,2,11,-2.898551e-2,0.000000e0,5.797101e-2
# sweep_kappa=0.005 begin_step=13000 (index=2/11)
15100,151.0000,5.000000e-3,67,3,64,-3.024038e4,-4.614316e-1,15,1,14,0.000000e0,0.000000e0,0.000000e0
15200,152.0000,5.000000e-3,67,3,64,-3.024246e4,-4.614633e-1,15,1,14,-1.492537e-2,0.000000e0,1.492537e-2
15300,153.0000,5.000000e-3,67,3,64,-3.024451e4,-4.614946e-1,15,1,14,1.492537e-2,1.492537e-2,5.970149e-2
15400,154.0000,5.000000e-3,67,3,64,-3.024655e4,-4.615258e-1,15,1,14,-1.492537e-2,0.000000e0,1.492537e-2
15500,155.0000,5.000000e-3,67,3,64,-3.024861e4,-4.615572e-1,15,1,14,-1.492537e-2,0.000000e0,1.492537e-2
15600,156.0000,5.000000e-3,67,3,64,-3.025070e4,-4.615890e-1,16,1,15,-2.985075e-2,-1.492537e-2,6.588378e-2
15700,157.0000,5.000000e-3,67,3,64,-3.025278e4,-4.616208e-1,16,1,15,0.000000e0,0.000000e0,0.000000e0
15800,158.0000,5.000000e-3,67,3,64,-3.025482e4,-4.616519e-1,16,1,15,0.000000e0,-1.492537e-2,1.492537e-2
15900,159.0000,5.000000e-3,67,3,64,-3.025676e4,-4.616815e-1,16,1,15,1.492537e-2,0.000000e0,4.477612e-2
16000,160.0000,5.000000e-3,67,3,64,-3.025859e4,-4.617095e-1,16,1,15,-1.492537e-2,0.000000e0,1.492537e-2
16100,161.0000,5.000000e-3,67,3,64,-3.026035e4,-4.617362e-1,16,1,15,0.000000e0,-1.492537e-2,1.492537e-2
16200,162.0000,5.000000e-3,67,3,64,-3.026203e4,-4.617620e-1,16,1,15,1.492537e-2,0.000000e0,7.462687e-2
16300,163.0000,5.000000e-3,67,3,64,-3.026368e4,-4.617872e-1,16,1,15,-1.492537e-2,2.985075e-2,4.477612e-2
16400,164.0000,5.000000e-3,67,3,64,-3.026531e4,-4.618120e-1,16,1,15,-1.492537e-2,0.000000e0,1.492537e-2
16500,165.0000,5.000000e-3,67,3,64,-3.026695e4,-4.618369e-1,16,1,15,-1.492537e-2,0.000000e0,1.492537e-2
16600,166.0000,5.000000e-3,67,3,64,-3.026860e4,-4.618622e-1,16,1,15,0.000000e0,4.477612e-2,4.477612e-2
16700,167.0000,5.000000e-3,67,3,64,-3.027030e4,-4.618881e-1,16,1,15,-1.492537e-2,-1.492537e-2,2.985075e-2
16800,168.0000,5.000000e-3,67,3,64,-3.027207e4,-4.619152e-1,16,1,15,0.000000e0,0.000000e0,0.000000e0
16900,169.0000,5.000000e-3,67,3,64,-3.027395e4,-4.619439e-1,16,1,15,1.492537e-2,0.000000e0,1.492537e-2
17000,170.0000,5.000000e-3,67,3,64,-3.027598e4,-4.619748e-1,17,1,16,-1.492537e-2,0.000000e0,4.477612e-2
17100,171.0000,5.000000e-3,67,3,64,-3.027817e4,-4.620083e-1,17,1,16,2.985075e-2,0.000000e0,2.985075e-2
17200,172.0000,5.000000e-3,67,3,64,-3.028057e4,-4.620448e-1,17,1,16,-4.477612e-2,0.000000e0,4.477612e-2
