# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=42
# defects: mode=random count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
kappa,samples,mean_speed,mean_vx,mean_vy,net_mean,pinned_net_mean,energy_density_mean
0.000000e0,30,3.493081e-2,2.310566e-3,8.769840e-4,6.400000e1,1.143333e1,-4.587777e-1
5.000000e-3,30,2.541587e-2,1.492120e-3,3.065302e-3,6.400000e1,1.200000e1,-4.614560e-1
1.000000e-2,30,1.857231e-2,-1.029336e-3,-1.551802e-3,6.400000e1,1.200000e1,-4.627309e-1
1.500000e-2,30,1.558434e-2,-7.314525e-3,2.612330e-3,6.400000e1,1.286667e1,-4.632811e-1
2.000000e-2,30,1.306165e-2,-6.792059e-3,3.134796e-3,6.400000e1,1.300000e1,-4.634477e-1
2.500000e-2,30,1.201672e-2,-7.314525e-3,2.612330e-3,6.400000e1,1.300000e1,-4.635235e-1
3.000000e-2,30,1.589039e-2,-1.253918e-2,1.567398e-3,6.400000e1,1.353333e1,-4.636218e-1
3.500000e-2,30,1.567398e-2,-9.404389e-3,2.089864e-3,6.400000e1,1.403333e1,-4.637244e-1
4.000000e-2,30,1.828631e-2,-1.201672e-2,-3.134796e-3,6.400000e1,1.526667e1,-4.639020e-1
4.499999e-2,30,1.515152e-2,-1.201672e-2,-2.089864e-3,6.400000e1,1.700000e1,-4.640893e-1
4.999999e-2,30,1.619645e-2,-1.253918e-2,5.224660e-4,6.400000e1,1.700000e1,-4.641135e-1
