# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.005 initial_relax_steps=10000 relax_steps=2000 measure_steps=3000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 B=0.0061359233 seed=42
# defects: mode=random count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/11)
10100,101.0000,0.000000e0,77,13,64,-2.998853e4,-4.575887e-1,16,4,12,0.000000e0,0.000000e0,0.000000e0
10200,102.0000,0.000000e0,77,13,64,-2.999300e4,-4.576568e-1,16,4,12,1.298701e-2,-1.298701e-2,5.194805e-2
10300,103.0000,0.000000e0,77,13,64,-2.999799e4,-4.577330e-1,16,4,12,0.000000e0,0.000000e0,0.000000e0
10400,104.0000,0.000000e0,77,13,64,-3.000400e4,-4.578247e-1,16,4,12,-1.298701e-2,-3.896104e-2,7.031446e-2
10500,105.0000,0.000000e0,76,12,64,-3.001150e4,-4.579392e-1,16,4,12,0.000000e0,1.315789e-2,3.947368e-2
10600,106.0000,0.000000e0,76,12,64,-3.001935e4,-4.580589e-1,16,4,12,-1.315789e-2,1.315789e-2,2.631579e-2
10700,107.0000,0.000000e0,75,11,64,-3.002617e4,-4.581630e-1,15,4,11,0.000000e0,-1.333333e-2,1.333333e-2
10800,108.0000,0.000000e0,75,11,64,-3.003213e4,-4.582540e-1,15,4,11,2.666667e-2,0.000000e0,5.333333e-2
10900,109.0000,0.000000e0,75,11,64,-3.003725e4,-4.583320e-1,15,4,11,1.333333e-2,0.000000e0,1.333333e-2
11000,110.0000,0.000000e0,75,11,64,-3.004171e4,-4.584001e-1,15,4,11,0.000000e0,0.000000e0,0.000000e0
11100,111.0000,0.000000e0,75,11,64,-3.004579e4,-4.584624e-1,15,4,11,1.333333e-2,0.000000e0,1.333333e-2
11200,112.0000,0.000000e0,75,11,64,-3.004969e4,-4.585218e-1,15,4,11,-2.666667e-2,2.666667e-2,1.066667e-1
11300,113.0000,0.000000e0,75,11,64,-3.005350e4,-4.585801e-1,15,4,11,1.333333e-2,2.666667e-2,5.885618e-2
11400,114.0000,0.000000e0,75,11,64,-3.005734e4,-4.586386e-1,15,4,11,1.333333e-2,1.333333e-2,8.000000e-2
11500,115.0000,0.000000e0,75,11,64,-3.006131e4,-4.586991e-1,15,4,11,0.000000e0,0.000000e0,2.666667e-2
11600,116.0000,0.000000e0,75,11,64,-3.006552e4,-4.587634e-1,15,4,11,-1.333333e-2,1.333333e-2,4.552285e-2
11700,117.0000,0.000000e0,75,11,64,-3.007013e4,-4.588337e-1,15,4,11,2.666667e-2,0.000000e0,2.666667e-2
11800,118.0000,0.000000e0,74,10,64,-3.007525e4,-4.589118e-1,15,3,12,0.000000e0,1.351351e-2,4.054054e-2
11900,119.0000,0.000000e0,74,10,64,-3.008089e4,-4.589980e-1,15,4,11,0.000000e0,2.702703e-2,2.702703e-2
12000,120.0000,0.000000e0,73,9,64,-3.008702e4,-4.590914e-1,14,3,11,0.000000e0,0.000000e0,5.479452e-2
12100,121.0000,0.000000e0,72,8,64,-3.009369e4,-4.591933e-1,14,3,11,0.000000e0,-1.388889e-2,1.388889e-2
12200,122.0000,0.000000e0,72,8,64,-3.010109e4,-4.593061e-1,14,3,11,1.388889e-2,1.388889e-2,2.777778e-2
12300,123.0000,0.000000e0,72,8,64,-3.010824e4,-4.594152e-1,14,3,11,4.166667e-2,-2.777778e-2,6.944444e-2
12400,124.0000,0.000000e0,72,8,64,-3.011414e4,-4.595052e-1,14,3,11,-1.388889e-2,4.166667e-2,5.555556e-2
12500,125.0000,0.000000e0,72,8,64,-3.011929e4,-4.595839e-1,15,3,12,0.000000e0,-2.777778e-2,2.777778e-2
12600,126.0000,0.000000e0,71,7,64,-3.012404e4,-4.596563e-1,14,2,12,-1.408451e-2,-1.408451e-2,2.816901e-2
12700,127.0000,0.000000e0,71,7,64,-3.012834e4,-4.597220e-1,14,2,12,0.000000e0,-1.408451e-2,1.408451e-2
12800,128.0000,0.000000e0,71,7,64,-3.013219e4,-4.597808e-1,14,2,12,-1.408451e-2,0.000000e0,1.408451e-2
12900,129.0000,0.000000e0,71,7,64,-3.013569e4,-4.598342e-1,14,2,12,0.000000e0,-1.408451e-2,1.408451e-2
13000,130.0000,0.000000e0,71,7,64,-3.013896e4,-4.598840e-1,14,2,12,0.000000e0,0.000000e0,0.000000e0
# sweep_kappa=0.005 begin_step=13000 (index=2/11)
15100,151.0000,5.000000e-3,69,5,64,-3.021199e4,-4.609984e-1,14,2,12,0.000000e0,0.000000e0,0.000000e0
15200,152.0000,5.000000e-3,69,5,64,-3.021365e4,-4.610238e-1,14,2,12,0.000000e0,1.449275e-2,1.449275e-2
15300,153.0000,5.000000e-3,69,5,64,-3.021528e4,-4.610486e-1,14,2,12,-1.449275e-2,0.000000e0,1.449275e-2
15400,154.0000,5.000000e-3,69,5,64,-3.021688e4,-4.610730e-1,14,2,12,1.449275e-2,0.000000e0,4.347826e-2
15500,155.0000,5.000000e-3,69,5,64,-3.021846e4,-4.610971e-1,14,2,12,0.000000e0,-2.898551e-2,2.898551e-2
15600,156.0000,5.000000e-3,69,5,64,-3.022003e4,-4.611210e-1,14,2,12,2.898551e-2,0.000000e0,2.898551e-2
15700,157.0000,5.000000e-3,69,5,64,-3.022159e4,-4.611449e-1,14,2,12,-1.449275e-2,0.000000e0,1.449275e-2
15800,158.0000,5.000000e-3,69,5,64,-3.022316e4,-4.611689e-1,14,2,12,0.000000e0,-1.449275e-2,1.449275e-2
15900,159.0000,5.000000e-3,69,5,64,-3.022475e4,-4.611931e-1,14,2,12,-1.449275e-2,-1.449275e-2,2.898551e-2
