# mode=headless steps=10000 sample_period=1000
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 kappa=0 B=0.0061359233 seed=42
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
1000,10.0000,0.000000e0,176,112,64,-2.607302e4,-3.978427e-1,12,15,-3,0.000000e0,0.000000e0,0.000000e0
2000,20.0000,0.000000e0,132,68,64,-2.793138e4,-4.261991e-1,11,12,-1,8.333333e-3,7.575758e-3,1.291002e-1
3000,30.0000,0.000000e0,110,46,64,-2.867174e4,-4.374960e-1,8,11,-3,1.545455e-2,-1.261617e-18,9.214919e-2
4000,40.0000,0.000000e0,97,33,64,-2.908271e4,-4.437670e-1,9,11,-2,9.278351e-3,1.030928e-3,7.691235e-2
5000,50.0000,0.000000e0,93,29,64,-2.930825e4,-4.472084e-1,10,10,0,1.290323e-2,1.075269e-2,6.982670e-2
6000,60.0000,0.000000e0,91,27,64,-2.944799e4,-4.493406e-1,12,9,3,-3.296703e-3,-2.197802e-3,6.552463e-2
7000,70.0000,0.000000e0,87,23,64,-2.959428e4,-4.515728e-1,11,8,3,-5.747126e-3,2.298851e-3,5.620632e-2
8000,80.0000,0.000000e0,84,20,64,-2.970203e4,-4.532170e-1,12,8,4,-1.190476e-3,-3.571429e-3,5.199598e-2
9000,90.0000,0.000000e0,81,17,64,-2.981562e4,-4.549502e-1,12,7,5,2.469136e-3,6.172840e-3,5.098499e-2
10000,100.0000,0.000000e0,76,12,64,-2.994611e4,-4.569414e-1,14,4,10,5.263158e-3,2.236842e-2,5.020438e-2
