# mode=headless steps=20000 sample_period=2000
# nx=256 ny=256 dt=0.005 dx=1 flux_n=64 phi=0.0061359233 kappa=0 B=0.0061359233 seed=42
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
2000,10.0000,0.000000e0,176,112,64,-2.608189e4,-3.979781e-1,12,15,-3,0.000000e0,0.000000e0,0.000000e0
4000,20.0000,0.000000e0,132,68,64,-2.793448e4,-4.262464e-1,11,12,-1,9.090909e-3,6.818182e-3,1.289652e-1
6000,30.0000,0.000000e0,110,46,64,-2.867345e4,-4.375221e-1,9,11,-2,1.545455e-2,-2.523234e-19,9.235782e-2
8000,40.0000,0.000000e0,97,33,64,-2.908383e4,-4.437841e-1,9,11,-2,1.030928e-2,3.092784e-3,7.741544e-2
10000,50.0000,0.000000e0,93,29,64,-2.930897e4,-4.472194e-1,10,10,0,1.182796e-2,9.677419e-3,6.767616e-2
12000,60.0000,0.000000e0,91,27,64,-2.944913e4,-4.493581e-1,12,9,3,-4.395604e-3,-2.197802e-3,6.442573e-2
14000,70.0000,0.000000e0,87,23,64,-2.959561e4,-4.515932e-1,11,8,3,-4.597701e-3,2.298851e-3,5.735574e-2
16000,80.0000,0.000000e0,84,20,64,-2.970287e4,-4.532298e-1,12,8,4,-1.190476e-3,-3.571429e-3,5.199598e-2
18000,90.0000,0.000000e0,81,17,64,-2.981596e4,-4.549555e-1,12,7,5,1.234568e-3,6.172840e-3,5.153224e-2
20000,100.0000,0.000000e0,76,12,64,-2.994684e4,-4.569525e-1,14,4,10,6.578947e-3,2.236842e-2,5.122691e-2
