# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.04 kappa_step=0.005 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=128 ny=128 dt=0.01 dx=1 flux_n=16 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=16 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/9)
20100,201.0000,0.000000e0,17,1,16,-7.563312e3,-4.616279e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,17,1,16,-7.563954e3,-4.616671e-1,6,0,6,-5.882353e-2,0.000000e0,5.882353e-2
20300,203.0000,0.000000e0,17,1,16,-7.564538e3,-4.617027e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
20400,204.0000,0.000000e0,17,1,16,-7.565075e3,-4.617355e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
20500,205.0000,0.000000e0,17,1,16,-7.565575e3,-4.617660e-1,6,0,6,0.000000e0,5.882353e-2,5.882353e-2
20600,206.0000,0.000000e0,17,1,16,-7.566042e3,-4.617946e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
20700,207.0000,0.000000e0,17,1,16,-7.566483e3,-4.618215e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
20800,208.0000,0.000000e0,17,1,16,-7.566901e3,-4.618470e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
20900,209.0000,0.000000e0,17,1,16,-7.567298e3,-4.618712e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21000,210.0000,0.000000e0,17,1,16,-7.567679e3,-4.618944e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21100,211.0000,0.000000e0,17,1,16,-7.568043e3,-4.619167e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21200,212.0000,0.000000e0,17,1,16,-7.568395e3,-4.619381e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21300,213.0000,0.000000e0,17,1,16,-7.568733e3,-4.619588e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21400,214.0000,0.000000e0,17,1,16,-7.569061e3,-4.619788e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21500,215.0000,0.000000e0,17,1,16,-7.569379e3,-4.619982e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21600,216.0000,0.000000e0,17,1,16,-7.569688e3,-4.620171e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21700,217.0000,0.000000e0,17,1,16,-7.569989e3,-4.620354e-1,6,0,6,0.000000e0,-5.882353e-2,5.882353e-2
21800,218.0000,0.000000e0,17,1,16,-7.570281e3,-4.620533e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
21900,219.0000,0.000000e0,17,1,16,-7.570567e3,-4.620708e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
22000,220.0000,0.000000e0,17,1,16,-7.570847e3,-4.620878e-1,6,0,6,5.882353e-2,0.000000e0,5.882353e-2
22100,221.0000,0.000000e0,17,1,16,-7.571120e3,-4.621045e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
22200,222.0000,0.000000e0,17,1,16,-7.571388e3,-4.621209e-1,6,0,6,5.882353e-2,0.000000e0,5.882353e-2
22300,223.0000,0.000000e0,17,1,16,-7.571651e3,-4.621369e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
22400,224.0000,0.000000e0,17,1,16,-7.571908e3,-4.621526e-1,6,0,6,0.000000e0,-5.882353e-2,5.882353e-2
22500,225.0000,0.000000e0,17,1,16,-7.572161e3,-4.621681e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
22600,226.0000,0.000000e0,17,1,16,-7.572410e3,-4.621832e-1,6,0,6,-5.882353e-2,0.000000e0,5.882353e-2
22700,227.0000,0.000000e0,17,1,16,-7.572655e3,-4.621982e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
22800,228.0000,0.000000e0,17,1,16,-7.572896e3,-4.622129e-1,6,0,6,-5.882353e-2,0.000000e0,5.882353e-2
22900,229.0000,0.000000e0,17,1,16,-7.573133e3,-4.622273e-1,6,0,6,0.000000e0,-5.882353e-2,5.882353e-2
23000,230.0000,0.000000e0,17,1,16,-7.573366e3,-4.622416e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23100,231.0000,0.000000e0,17,1,16,-7.573597e3,-4.622557e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23200,232.0000,0.000000e0,17,1,16,-7.573824e3,-4.622695e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23300,233.0000,0.000000e0,17,1,16,-7.574049e3,-4.622833e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23400,234.0000,0.000000e0,17,1,16,-7.574271e3,-4.622968e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23500,235.0000,0.000000e0,17,1,16,-7.574490e3,-4.623102e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23600,236.0000,0.000000e0,17,1,16,-7.574707e3,-4.623234e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23700,237.0000,0.000000e0,17,1,16,-7.574922e3,-4.623366e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23800,238.0000,0.000000e0,17,1,16,-7.575135e3,-4.623496e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
23900,239.0000,0.000000e0,17,1,16,-7.575346e3,-4.623624e-1,6,0,6,-5.882353e-2,0.000000e0,5.882353e-2
24000,240.0000,0.000000e0,17,1,16,-7.575556e3,-4.623752e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24100,241.0000,0.000000e0,17,1,16,-7.575764e3,-4.623879e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24200,242.0000,0.000000e0,17,1,16,-7.575970e3,-4.624005e-1,6,0,6,-5.882353e-2,0.000000e0,5.882353e-2
24300,243.0000,0.000000e0,17,1,16,-7.576176e3,-4.624131e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24400,244.0000,0.000000e0,17,1,16,-7.576380e3,-4.624256e-1,6,0,6,0.000000e0,-5.882353e-2,5.882353e-2
24500,245.0000,0.000000e0,17,1,16,-7.576584e3,-4.624380e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24600,246.0000,0.000000e0,17,1,16,-7.576787e3,-4.624504e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24700,247.0000,0.000000e0,17,1,16,-7.576989e3,-4.624627e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24800,248.0000,0.000000e0,17,1,16,-7.577191e3,-4.624750e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
24900,249.0000,0.000000e0,17,1,16,-7.577393e3,-4.624874e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
25000,250.0000,0.000000e0,17,1,16,-7.577595e3,-4.624997e-1,6,0,6,5.882353e-2,-5.882353e-2,1.176471e-1
# sweep_kappa=0.005 begin_step=25000 (index=2/9)
27100,271.0000,5.000000e-3,17,1,16,-7.583846e3,-4.628812e-1,6,0,6,0.000000e0,0.000000e0,0.000000e0
27200,272.0000,5.000000e-3,17,1,16,-7.584599e3,-4.629272e-1,6,0,6,-5.882353e-2,0.000000e0,5.882353e-2
27300,273.0000,5.000000e-3,17,1,16,-7.585579e3,-4.629870e-1,6,0,6,0.000000e0,-5.882353e-2,5.882353e-2
27400,274.0000,5.000000e-3,17,1,16,-7.586858e3,-4.630651e-1,6,1,5,0.000000e0,0.000000e0,0.000000e0
27500,275.0000,5.000000e-3,16,0,16,-7.588380e3,-4.631579e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
27600,276.0000,5.000000e-3,16,0,16,-7.589845e3,-4.632474e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
27700,277.0000,5.000000e-3,16,0,16,-7.590996e3,-4.633176e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
27800,278.0000,5.000000e-3,16,0,16,-7.591848e3,-4.633696e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
27900,279.0000,5.000000e-3,16,0,16,-7.592506e3,-4.634098e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28000,280.0000,5.000000e-3,16,0,16,-7.593044e3,-4.634426e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28100,281.0000,5.000000e-3,16,0,16,-7.593502e3,-4.634706e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28200,282.0000,5.000000e-3,16,0,16,-7.593903e3,-4.634950e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28300,283.0000,5.000000e-3,16,0,16,-7.594262e3,-4.635170e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28400,284.0000,5.000000e-3,16,0,16,-7.594589e3,-4.635369e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28500,285.0000,5.000000e-3,16,0,16,-7.594890e3,-4.635553e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28600,286.0000,5.000000e-3,16,0,16,-7.595171e3,-4.635724e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28700,287.0000,5.000000e-3,16,0,16,-7.595434e3,-4.635885e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28800,288.0000,5.000000e-3,16,0,16,-7.595683e3,-4.636037e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
28900,289.0000,5.000000e-3,16,0,16,-7.595920e3,-4.636182e-1,5,0,5,-6.250000e-2,0.000000e0,6.250000e-2
29000,290.0000,5.000000e-3,16,0,16,-7.596146e3,-4.636319e-1,5,0,5,6.250000e-2,0.000000e0,6.250000e-2
29100,291.0000,5.000000e-3,16,0,16,-7.596362e3,-4.636452e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
29200,292.0000,5.000000e-3,16,0,16,-7.596571e3,-4.636579e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
29300,293.0000,5.000000e-3,16,0,16,-7.596772e3,-4.636701e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
29400,294.0000,5.000000e-3,16,0,16,-7.596966e3,-4.636820e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
29500,295.0000,5.000000e-3,16,0,16,-7.597155e3,-4.636935e-1,5,0,5,0.000000e0,0.000000e0,1.250000e-1
29600,296.0000,5.000000e-3,16,0,16,-7.597338e3,-4.637047e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
29700,297.0000,5.000000e-3,16,0,16,-7.597517e3,-4.637156e-1,5,0,5,-1.250000e-1,0.000000e0,1.250000e-1
29800,298.0000,5.000000e-3,16,0,16,-7.597691e3,-4.637263e-1,5,0,5,1.250000e-1,0.000000e0,1.250000e-1
29900,299.0000,5.000000e-3,16,0,16,-7.597861e3,-4.637366e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30000,300.0000,5.000000e-3,16,0,16,-7.598027e3,-4.637468e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30100,301.0000,5.000000e-3,16,0,16,-7.598190e3,-4.637567e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30200,302.0000,5.000000e-3,16,0,16,-7.598350e3,-4.637665e-1,5,0,5,0.000000e0,-6.250000e-2,6.250000e-2
30300,303.0000,5.000000e-3,16,0,16,-7.598507e3,-4.637760e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30400,304.0000,5.000000e-3,16,0,16,-7.598660e3,-4.637854e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30500,305.0000,5.000000e-3,16,0,16,-7.598812e3,-4.637947e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30600,306.0000,5.000000e-3,16,0,16,-7.598960e3,-4.638037e-1,5,0,5,-6.250000e-2,0.000000e0,6.250000e-2
30700,307.0000,5.000000e-3,16,0,16,-7.599106e3,-4.638126e-1,5,0,5,0.000000e0,-6.250000e-2,6.250000e-2
30800,308.0000,5.000000e-3,16,0,16,-7.599250e3,-4.638214e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
30900,309.0000,5.000000e-3,16,0,16,-7.599392e3,-4.638301e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
31000,310.0000,5.000000e-3,16,0,16,-7.599531e3,-4.638386e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
31100,311.0000,5.000000e-3,16,0,16,-7.599668e3,-4.638469e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
31200,312.0000,5.000000e-3,16,0,16,-7.599804e3,-4.638552e-1,5,0,5,0.000000e0,0.000000e0,0.000000e0
31300,313.0000,5.000000e-3,16,0,16,-7.599937e3,-4.638633e-1,5,0,5,6.250000e-2,0.000000e0,6.250000e-2
