# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=20000 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=512 ny=512 dt=0.01 dx=1 flux_n=256 phi=0.0061359233 B=0.0061359233 seed=1234
# defects: mode=lattice count=256 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
20100,201.0000,0.000000e0,266,10,256,-1.212251e5,-4.624372e-1,74,3,71,0.000000e0,0.000000e0,0.000000e0
20200,202.0000,0.000000e0,265,9,256,-1.212338e5,-4.624703e-1,74,3,71,0.000000e0,3.773585e-3,4.150943e-2
20300,203.0000,0.000000e0,265,9,256,-1.212435e5,-4.625072e-1,75,3,72,3.773585e-3,1.132075e-2,2.043099e-2
20400,204.0000,0.000000e0,265,9,256,-1.212525e5,-4.625417e-1,75,3,72,0.000000e0,7.547170e-3,2.264151e-2
20500,205.0000,0.000000e0,265,9,256,-1.212602e5,-4.625709e-1,75,3,72,0.000000e0,3.773585e-3,3.773585e-3
20600,206.0000,0.000000e0,265,9,256,-1.212670e5,-4.625970e-1,75,3,72,-3.773585e-3,-3.773585e-3,2.797816e-2
20700,207.0000,0.000000e0,265,9,256,-1.212734e5,-4.626212e-1,75,3,72,1.132075e-2,3.773585e-3,4.528302e-2
20800,208.0000,0.000000e0,265,9,256,-1.212794e5,-4.626443e-1,75,3,72,1.132075e-2,7.547170e-3,2.641509e-2
20900,209.0000,0.000000e0,265,9,256,-1.212853e5,-4.626666e-1,75,3,72,0.000000e0,7.547170e-3,2.264151e-2
21000,210.0000,0.000000e0,265,9,256,-1.212910e5,-4.626886e-1,75,3,72,7.547170e-3,0.000000e0,3.018868e-2
21100,211.0000,0.000000e0,265,9,256,-1.212968e5,-4.627105e-1,75,3,72,0.000000e0,0.000000e0,2.797816e-2
21200,212.0000,0.000000e0,265,9,256,-1.213026e5,-4.627327e-1,75,3,72,3.773585e-3,1.132075e-2,3.552533e-2
