# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=2000 measure_steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=9769072114597365883
# defects: count=50 radius=3 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
2100,21.0000,0.000000e0,228,19,209,-2.814606e4,-4.294749e-1,28,2,26,0.000000e0,0.000000e0,0.000000e0
2200,22.0000,0.000000e0,228,19,209,-2.821334e4,-4.305014e-1,27,2,25,-4.385965e-3,-4.385965e-3,9.649123e-2
2300,23.0000,0.000000e0,224,15,209,-2.827410e4,-4.314285e-1,27,1,26,-3.571429e-2,8.928571e-3,1.428571e-1
2400,24.0000,0.000000e0,223,14,209,-2.833052e4,-4.322895e-1,28,1,27,1.793722e-2,0.000000e0,8.968610e-2
2500,25.0000,0.000000e0,223,14,209,-2.838009e4,-4.330458e-1,28,1,27,4.484305e-3,-2.690583e-2,9.417040e-2
2600,26.0000,0.000000e0,223,14,209,-2.842320e4,-4.337037e-1,28,1,27,1.345291e-2,1.345291e-2,6.015342e-2
2700,27.0000,0.000000e0,222,13,209,-2.846336e4,-4.343164e-1,28,1,27,-2.252252e-2,1.351351e-2,9.382174e-2
2800,28.0000,0.000000e0,220,11,209,-2.850387e4,-4.349346e-1,28,1,27,-4.545455e-3,4.545455e-3,6.363636e-2
2900,29.0000,0.000000e0,218,9,209,-2.854533e4,-4.355672e-1,28,1,27,-1.834862e-2,1.376147e-2,1.001304e-1
3000,30.0000,0.000000e0,217,8,209,-2.858453e4,-4.361652e-1,28,1,27,-1.382488e-2,-2.764977e-2,7.834101e-2
3100,31.0000,0.000000e0,217,8,209,-2.861866e4,-4.366862e-1,28,1,27,-4.608295e-3,2.764977e-2,5.720836e-2
3200,32.0000,0.000000e0,217,8,209,-2.864806e4,-4.371346e-1,28,1,27,-2.764977e-2,1.382488e-2,5.990783e-2
3300,33.0000,0.000000e0,217,8,209,-2.867447e4,-4.375377e-1,28,1,27,3.225806e-2,1.382488e-2,7.103324e-2
3400,34.0000,0.000000e0,216,7,209,-2.869986e4,-4.379251e-1,28,1,27,1.388889e-2,0.000000e0,8.525099e-2
3500,35.0000,0.000000e0,216,7,209,-2.872521e4,-4.383120e-1,28,1,27,0.000000e0,-9.259259e-3,6.481481e-2
3600,36.0000,0.000000e0,214,5,209,-2.875056e4,-4.386987e-1,28,1,27,0.000000e0,4.672897e-3,7.670193e-2
3700,37.0000,0.000000e0,214,5,209,-2.877541e4,-4.390780e-1,28,1,27,0.000000e0,-1.401869e-2,4.205607e-2
3800,38.0000,0.000000e0,214,5,209,-2.879800e4,-4.394225e-1,28,1,27,-9.345794e-3,0.000000e0,4.672897e-2
3900,39.0000,0.000000e0,214,5,209,-2.881910e4,-4.397445e-1,28,1,27,-9.345794e-3,-4.672897e-3,5.140187e-2
4000,40.0000,0.000000e0,213,4,209,-2.884073e4,-4.400745e-1,28,1,27,0.000000e0,-9.389671e-3,7.511737e-2
4100,41.0000,0.000000e0,212,3,209,-2.886293e4,-4.404134e-1,28,1,27,-2.830189e-2,4.716981e-3,8.685950e-2
4200,42.0000,0.000000e0,212,3,209,-2.888328e4,-4.407238e-1,29,1,28,0.000000e0,0.000000e0,7.547170e-2
4300,43.0000,0.000000e0,210,1,209,-2.890146e4,-4.410013e-1,28,0,28,-9.523810e-3,0.000000e0,3.809524e-2
4400,44.0000,0.000000e0,210,1,209,-2.891868e4,-4.412641e-1,28,0,28,-9.523810e-3,-9.523810e-3,5.714286e-2
4500,45.0000,0.000000e0,210,1,209,-2.893440e4,-4.415040e-1,28,0,28,4.761905e-3,4.761905e-3,2.857143e-2
4600,46.0000,0.000000e0,210,1,209,-2.894799e4,-4.417112e-1,29,0,29,1.904762e-2,0.000000e0,3.809524e-2
4700,47.0000,0.000000e0,210,1,209,-2.896006e4,-4.418955e-1,29,0,29,-9.523810e-3,4.761905e-3,7.142857e-2
4800,48.0000,0.000000e0,210,1,209,-2.897117e4,-4.420649e-1,29,0,29,0.000000e0,4.761905e-3,8.095238e-2
4900,49.0000,0.000000e0,210,1,209,-2.898161e4,-4.422243e-1,29,0,29,9.523810e-3,0.000000e0,4.761905e-2
5000,50.0000,0.000000e0,210,1,209,-2.899168e4,-4.423779e-1,29,0,29,-4.761905e-3,-4.761905e-3,3.809524e-2
5100,51.0000,0.000000e0,210,1,209,-2.900172e4,-4.425311e-1,29,0,29,-1.428571e-2,4.761905e-3,6.108775e-2
5200,52.0000,0.000000e0,209,0,209,-2.901226e4,-4.426920e-1,29,0,29,-4.784689e-3,-4.784689e-3,3.827751e-2
5300,53.0000,0.000000e0,209,0,209,-2.902336e4,-4.428614e-1,29,0,29,-4.784689e-3,1.913876e-2,3.349282e-2
5400,54.0000,0.000000e0,209,0,209,-2.903352e4,-4.430164e-1,29,0,29,-9.569378e-3,1.435407e-2,5.263158e-2
5500,55.0000,0.000000e0,209,0,209,-2.904221e4,-4.431490e-1,29,0,29,4.784689e-3,9.569378e-3,4.306220e-2
5600,56.0000,0.000000e0,209,0,209,-2.905001e4,-4.432679e-1,29,0,29,4.784689e-3,-4.784689e-3,4.784689e-2
5700,57.0000,0.000000e0,209,0,209,-2.905725e4,-4.433785e-1,29,0,29,-4.784689e-3,4.784689e-3,1.913876e-2
5800,58.0000,0.000000e0,209,0,209,-2.906411e4,-4.434831e-1,29,0,29,-1.435407e-2,1.435407e-2,5.741627e-2
5900,59.0000,0.000000e0,209,0,209,-2.907069e4,-4.435835e-1,29,0,29,-1.435407e-2,-4.784689e-3,2.870813e-2
6000,60.0000,0.000000e0,209,0,209,-2.907707e4,-4.436808e-1,29,0,29,-4.784689e-3,-1.435407e-2,5.741627e-2
6100,61.0000,0.000000e0,209,0,209,-2.908330e4,-4.437759e-1,30,0,30,-9.569378e-3,-9.569378e-3,2.870813e-2
6200,62.0000,0.000000e0,209,0,209,-2.908939e4,-4.438688e-1,30,0,30,-4.784689e-3,-1.435407e-2,2.870813e-2
6300,63.0000,0.000000e0,209,0,209,-2.909526e4,-4.439584e-1,30,0,30,4.784689e-3,9.569378e-3,5.263158e-2
6400,64.0000,0.000000e0,209,0,209,-2.910085e4,-4.440438e-1,30,0,30,9.569378e-3,4.784689e-3,3.349282e-2
6500,65.0000,0.000000e0,209,0,209,-2.910617e4,-4.441249e-1,30,0,30,4.784689e-3,-9.569378e-3,4.306220e-2
6600,66.0000,0.000000e0,209,0,209,-2.911125e4,-4.442025e-1,31,0,31,-1.435407e-2,4.784689e-3,1.913876e-2
6700,67.0000,0.000000e0,209,0,209,-2.911614e4,-4.442771e-1,31,0,31,1.435407e-2,-9.569378e-3,5.263158e-2
6800,68.0000,0.000000e0,209,0,209,-2.912086e4,-4.443491e-1,31,0,31,-4.784689e-3,9.569378e-3,3.349282e-2
6900,69.0000,0.000000e0,209,0,209,-2.912544e4,-4.444189e-1,31,0,31,0.000000e0,-9.569378e-3,2.870813e-2
7000,70.0000,0.000000e0,209,0,209,-2.912987e4,-4.444866e-1,31,0,31,-4.784689e-3,-9.569378e-3,4.306220e-2
# sweep_kappa=0.01 begin_step=7000 (index=2/6)
9100,91.0000,1.000000e-2,209,0,209,-2.919113e4,-4.454213e-1,33,0,33,0.000000e0,0.000000e0,0.000000e0
9200,92.0000,1.000000e-2,209,0,209,-2.919341e4,-4.454560e-1,33,0,33,0.000000e0,-4.784689e-3,1.435407e-2
9300,93.0000,1.000000e-2,209,0,209,-2.919560e4,-4.454895e-1,33,0,33,-9.569378e-3,4.784689e-3,2.392344e-2
9400,94.0000,1.000000e-2,209,0,209,-2.919772e4,-4.455219e-1,33,0,33,-1.435407e-2,4.784689e-3,3.827751e-2
