# mode=headless steps=10000 sample_period=1000
# nx=256 ny=256 dt=0.01 dx=1 flux_n=128 phi=0.012271847 kappa=0 B=0.012271847 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
1000,10.0000,0.000000e0,224,96,128,-2.585617e4,-3.945339e-1,23,8,15,0.000000e0,0.000000e0,0.000000e0
2000,20.0000,0.000000e0,178,50,128,-2.772172e4,-4.229999e-1,26,6,20,-9.550562e-3,-3.370787e-3,1.227626e-1
3000,30.0000,0.000000e0,156,28,128,-2.850440e4,-4.349426e-1,26,4,22,-7.051282e-3,-3.205128e-3,9.042363e-2
4000,40.0000,0.000000e0,145,17,128,-2.894398e4,-4.416501e-1,27,2,25,-2.068966e-3,4.827586e-3,7.530814e-2
5000,50.0000,0.000000e0,137,9,128,-2.921138e4,-4.457303e-1,27,1,26,-2.189781e-3,-2.189781e-3,5.196406e-2
6000,60.0000,0.000000e0,135,7,128,-2.935923e4,-4.479864e-1,30,1,29,2.222222e-3,2.222222e-3,5.151898e-2
7000,70.0000,0.000000e0,132,4,128,-2.947205e4,-4.497077e-1,33,1,32,7.575758e-4,3.787879e-3,4.777407e-2
8000,80.0000,0.000000e0,132,4,128,-2.954000e4,-4.507447e-1,33,1,32,-3.030303e-3,5.303030e-3,3.936168e-2
9000,90.0000,0.000000e0,130,2,128,-2.960112e4,-4.516772e-1,33,1,32,-2.135044e-19,3.846154e-3,2.992269e-2
10000,100.0000,0.000000e0,130,2,128,-2.963004e4,-4.521185e-1,33,1,32,7.692308e-4,4.615385e-3,2.928544e-2
