# mode=headless steps=10000 sample_period=1000
# nx=256 ny=256 dt=0.01 dx=1 flux_n=96 phi=0.009203885 kappa=0 B=0.009203885 seed=1234
# defects: mode=random count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
1000,10.0000,0.000000e0,206,110,96,-2.586562e4,-3.946781e-1,18,5,13,0.000000e0,0.000000e0,0.000000e0
2000,20.0000,0.000000e0,162,66,96,-2.771287e4,-4.228649e-1,16,5,11,7.407407e-3,-3.086420e-3,1.259382e-1
3000,30.0000,0.000000e0,143,47,96,-2.841770e4,-4.336198e-1,17,4,13,1.940949e-19,2.797203e-3,9.573526e-2
4000,40.0000,0.000000e0,130,34,96,-2.884707e4,-4.401713e-1,15,4,11,1.538462e-3,2.307692e-3,7.252131e-2
5000,50.0000,0.000000e0,118,22,96,-2.915763e4,-4.449102e-1,15,4,11,-7.056502e-19,4.237288e-3,5.236646e-2
6000,60.0000,0.000000e0,112,16,96,-2.938029e4,-4.483076e-1,16,3,13,-3.571429e-3,-1.785714e-3,6.050301e-2
7000,70.0000,0.000000e0,108,12,96,-2.951895e4,-4.504234e-1,15,2,13,6.481481e-3,-8.333333e-3,4.293670e-2
8000,80.0000,0.000000e0,105,9,96,-2.963235e4,-4.521538e-1,15,1,14,5.714286e-3,-2.857143e-3,4.259176e-2
9000,90.0000,0.000000e0,103,7,96,-2.972441e4,-4.535585e-1,16,1,15,6.796117e-3,3.883495e-3,4.188557e-2
10000,100.0000,0.000000e0,102,6,96,-2.977654e4,-4.543540e-1,16,1,15,-4.901961e-3,-9.803922e-4,3.691848e-2
