# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=5000 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=32 phi=0.0030679617 B=0.0030679617 seed=1234
# defects: mode=lattice count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
5100,51.0000,0.000000e0,71,39,32,-2.938154e4,-4.483268e-1,15,7,8,0.000000e0,0.000000e0,0.000000e0
5200,52.0000,0.000000e0,71,39,32,-2.939897e4,-4.485926e-1,15,7,8,-2.816901e-2,0.000000e0,2.816901e-2
5300,53.0000,0.000000e0,70,38,32,-2.941609e4,-4.488539e-1,15,7,8,-2.857143e-2,2.857143e-2,8.571429e-2
5400,54.0000,0.000000e0,70,38,32,-2.943303e4,-4.491124e-1,15,7,8,-1.428571e-2,2.857143e-2,7.142857e-2
5500,55.0000,0.000000e0,70,38,32,-2.944883e4,-4.493535e-1,15,7,8,0.000000e0,2.857143e-2,2.857143e-2
5600,56.0000,0.000000e0,70,38,32,-2.946394e4,-4.495840e-1,15,7,8,7.142857e-2,4.285714e-2,1.630602e-1
5700,57.0000,0.000000e0,70,38,32,-2.947961e4,-4.498231e-1,15,8,7,1.428571e-2,2.857143e-2,7.142857e-2
5800,58.0000,0.000000e0,68,36,32,-2.949680e4,-4.500855e-1,14,7,7,1.470588e-2,4.411765e-2,8.823529e-2
5900,59.0000,0.000000e0,67,35,32,-2.951482e4,-4.503605e-1,14,7,7,1.492537e-2,-1.492537e-2,2.985075e-2
6000,60.0000,0.000000e0,67,35,32,-2.953189e4,-4.506208e-1,14,7,7,1.492537e-2,1.492537e-2,5.970149e-2
# sweep_kappa=0.01 begin_step=6000 (index=2/6)
6600,66.0000,1.000000e-2,63,31,32,-2.963167e4,-4.521433e-1,15,5,10,0.000000e0,0.000000e0,0.000000e0
6700,67.0000,1.000000e-2,61,29,32,-2.964804e4,-4.523931e-1,14,4,10,-1.639344e-2,-1.639344e-2,6.557377e-2
6800,68.0000,1.000000e-2,60,28,32,-2.966471e4,-4.526475e-1,14,4,10,-5.000000e-2,0.000000e0,8.333333e-2
6900,69.0000,1.000000e-2,60,28,32,-2.968044e4,-4.528875e-1,14,4,10,0.000000e0,-1.666667e-2,5.000000e-2
7000,70.0000,1.000000e-2,60,28,32,-2.969444e4,-4.531012e-1,14,4,10,0.000000e0,0.000000e0,0.000000e0
7100,71.0000,1.000000e-2,60,28,32,-2.970668e4,-4.532879e-1,14,4,10,1.666667e-2,3.333333e-2,1.166667e-1
7200,72.0000,1.000000e-2,59,27,32,-2.971829e4,-4.534652e-1,14,4,10,-1.694915e-2,1.694915e-2,3.389831e-2
7300,73.0000,1.000000e-2,59,27,32,-2.973017e4,-4.536463e-1,14,4,10,0.000000e0,1.694915e-2,5.084746e-2
7400,74.0000,1.000000e-2,59,27,32,-2.974196e4,-4.538263e-1,14,4,10,-1.694915e-2,3.389831e-2,5.084746e-2
7500,75.0000,1.000000e-2,58,26,32,-2.975350e4,-4.540024e-1,14,4,10,0.000000e0,1.724138e-2,1.724138e-2
# sweep_kappa=0.02 begin_step=7500 (index=3/6)
8100,81.0000,2.000000e-2,58,26,32,-2.979105e4,-4.545753e-1,14,4,10,0.000000e0,0.000000e0,0.000000e0
