# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=5000 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=80 phi=0.0076699043 B=0.0076699043 seed=1234
# defects: mode=random count=64 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
5100,51.0000,0.000000e0,107,27,80,-2.923883e4,-4.461492e-1,18,10,8,0.000000e0,0.000000e0,0.000000e0
5200,52.0000,0.000000e0,104,24,80,-2.927148e4,-4.466474e-1,16,8,8,9.615385e-3,-1.923077e-2,8.090590e-2
5300,53.0000,0.000000e0,103,23,80,-2.930123e4,-4.471013e-1,16,8,8,0.000000e0,-1.941748e-2,5.825243e-2
5400,54.0000,0.000000e0,103,23,80,-2.932591e4,-4.474778e-1,16,8,8,2.912621e-2,-1.941748e-2,6.796117e-2
5500,55.0000,0.000000e0,103,23,80,-2.934615e4,-4.477867e-1,16,8,8,-9.708738e-3,9.708738e-3,5.825243e-2
5600,56.0000,0.000000e0,103,23,80,-2.936358e4,-4.480527e-1,16,8,8,9.708738e-3,-4.854369e-2,5.256518e-2
5700,57.0000,0.000000e0,103,23,80,-2.937940e4,-4.482941e-1,16,8,8,9.708738e-3,-9.708738e-3,9.140013e-2
5800,58.0000,0.000000e0,103,23,80,-2.939445e4,-4.485237e-1,16,8,8,-1.941748e-2,0.000000e0,3.883495e-2
5900,59.0000,0.000000e0,103,23,80,-2.940954e4,-4.487539e-1,16,8,8,4.854369e-2,0.000000e0,1.067961e-1
6000,60.0000,0.000000e0,102,22,80,-2.942561e4,-4.489992e-1,16,8,8,1.960784e-2,0.000000e0,5.882353e-2
# sweep_kappa=0.01 begin_step=6000 (index=2/6)
6600,66.0000,1.000000e-2,99,19,80,-2.952955e4,-4.505852e-1,16,8,8,0.000000e0,0.000000e0,0.000000e0
6700,67.0000,1.000000e-2,99,19,80,-2.954272e4,-4.507861e-1,16,8,8,-2.020202e-2,0.000000e0,4.040404e-2
6800,68.0000,1.000000e-2,99,19,80,-2.955484e4,-4.509711e-1,16,8,8,1.010101e-2,-2.020202e-2,9.090909e-2
6900,69.0000,1.000000e-2,99,19,80,-2.956635e4,-4.511466e-1,17,8,9,0.000000e0,1.010101e-2,5.050505e-2
7000,70.0000,1.000000e-2,99,19,80,-2.957753e4,-4.513173e-1,17,8,9,-1.010101e-2,-2.020202e-2,7.070707e-2
7100,71.0000,1.000000e-2,98,18,80,-2.958855e4,-4.514854e-1,18,7,11,-1.020408e-2,-1.020408e-2,6.122449e-2
7200,72.0000,1.000000e-2,98,18,80,-2.959933e4,-4.516499e-1,18,7,11,0.000000e0,-2.040816e-2,4.081633e-2
7300,73.0000,1.000000e-2,98,18,80,-2.960971e4,-4.518083e-1,18,7,11,1.020408e-2,1.020408e-2,6.122449e-2
7400,74.0000,1.000000e-2,98,18,80,-2.961976e4,-4.519617e-1,18,7,11,-1.020408e-2,-4.081633e-2,5.102041e-2
