# mode=headless steps=1000 sample_period=100
# nx=128 ny=128 dt=0.01 dx=1 flux_n=20 phi=0.0076699043 kappa=0 B=0.0076699043 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
100,1.0000,0.000000e0,380,360,20,-1.246029e1,-7.605156e-4,52,40,12,0.000000e0,0.000000e0,0.000000e0
200,2.0000,0.000000e0,189,169,20,-6.980923e1,-4.260817e-3,28,30,-2,1.640212e-1,5.291005e-3,1.025163e0
300,3.0000,0.000000e0,129,109,20,-3.352832e2,-2.046406e-2,28,24,4,4.651163e-2,7.751938e-2,7.491687e-1
400,4.0000,0.000000e0,90,70,20,-1.339459e3,-8.175406e-2,19,12,7,4.444444e-2,6.666667e-2,6.447609e-1
500,5.0000,0.000000e0,77,57,20,-3.254714e3,-1.986520e-1,15,13,2,-3.376623e-1,-1.168831e-1,1.276554e0
600,6.0000,0.000000e0,68,48,20,-4.729067e3,-2.886394e-1,14,10,4,1.641791e-1,1.492537e-2,7.535870e-1
700,7.0000,0.000000e0,57,37,20,-5.347668e3,-3.263958e-1,12,11,1,-1.785714e-2,7.142857e-2,4.591924e-1
800,8.0000,0.000000e0,49,29,20,-5.617006e3,-3.428348e-1,11,7,4,8.163265e-2,1.632653e-1,3.026210e-1
900,9.0000,0.000000e0,45,25,20,-5.782731e3,-3.529499e-1,10,5,5,0.000000e0,0.000000e0,3.425381e-1
1000,10.0000,0.000000e0,41,21,20,-5.902121e3,-3.602368e-1,9,6,3,2.439024e-2,4.878049e-2,3.170732e-1
