# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=100 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
600,6.0000,0.000000e0,336,127,209,-2.084446e4,-3.180613e-1,25,11,14,0.000000e0,0.000000e0,0.000000e0
700,7.0000,0.000000e0,311,102,209,-2.313585e4,-3.530251e-1,24,10,14,6.430868e-3,-3.536977e-2,3.067035e-1
800,8.0000,0.000000e0,300,91,209,-2.406493e4,-3.672016e-1,26,11,15,3.333333e-3,1.000000e-2,2.651878e-1
900,9.0000,0.000000e0,291,82,209,-2.461212e4,-3.755512e-1,27,9,18,2.061856e-2,6.872852e-3,2.620022e-1
1000,10.0000,0.000000e0,282,73,209,-2.500733e4,-3.815816e-1,25,7,18,-1.418440e-2,1.063830e-2,2.130180e-1
1100,11.0000,0.000000e0,275,66,209,-2.532018e4,-3.863553e-1,24,7,17,-1.818182e-2,3.636364e-3,1.651426e-1
1200,12.0000,0.000000e0,268,59,209,-2.557948e4,-3.903118e-1,25,7,18,-1.492537e-2,-7.462687e-3,2.204144e-1
1300,13.0000,0.000000e0,260,51,209,-2.580542e4,-3.937594e-1,24,6,18,-4.615385e-2,-7.692308e-3,1.493401e-1
1400,14.0000,0.000000e0,254,45,209,-2.600384e4,-3.967871e-1,26,5,21,7.874016e-3,-1.181102e-2,1.735081e-1
1500,15.0000,0.000000e0,251,42,209,-2.617303e4,-3.993688e-1,26,5,21,-3.187251e-2,-7.968127e-3,1.500273e-1
# sweep_kappa=0.01 begin_step=1500 (index=2/6)
2100,21.0000,1.000000e-2,236,27,209,-2.683598e4,-4.094845e-1,29,3,26,0.000000e0,0.000000e0,0.000000e0
2200,22.0000,1.000000e-2,232,23,209,-2.692111e4,-4.107836e-1,29,4,25,-1.293103e-2,-1.293103e-2,1.267854e-1
2300,23.0000,1.000000e-2,227,18,209,-2.700797e4,-4.121089e-1,28,3,25,-3.524229e-2,-8.810573e-3,1.383886e-1
2400,24.0000,1.000000e-2,224,15,209,-2.709286e4,-4.134043e-1,29,3,26,-3.571429e-2,0.000000e0,1.134563e-1
2500,25.0000,1.000000e-2,222,13,209,-2.716871e4,-4.145617e-1,28,2,26,-1.351351e-2,-2.252252e-2,1.415055e-1
2600,26.0000,1.000000e-2,222,13,209,-2.723263e4,-4.155369e-1,30,2,28,-9.009009e-3,-9.009009e-3,8.108108e-2
2700,27.0000,1.000000e-2,222,13,209,-2.728601e4,-4.163514e-1,30,2,28,-3.153153e-2,-4.504505e-3,1.081081e-1
2800,28.0000,1.000000e-2,221,12,209,-2.733369e4,-4.170790e-1,30,2,28,-2.262443e-2,-2.714932e-2,8.972139e-2
2900,29.0000,1.000000e-2,220,11,209,-2.737916e4,-4.177728e-1,30,2,28,-2.727273e-2,-1.363636e-2,9.545455e-2
3000,30.0000,1.000000e-2,220,11,209,-2.742255e4,-4.184349e-1,30,2,28,4.545455e-3,-1.818182e-2,5.642824e-2
# sweep_kappa=0.02 begin_step=3000 (index=3/6)
3600,36.0000,2.000000e-2,216,7,209,-2.761490e4,-4.213699e-1,32,2,30,0.000000e0,0.000000e0,0.000000e0
3700,37.0000,2.000000e-2,216,7,209,-2.764167e4,-4.217784e-1,32,2,30,-3.703704e-2,0.000000e0,6.481481e-2
3800,38.0000,2.000000e-2,215,6,209,-2.766671e4,-4.221604e-1,32,2,30,-1.395349e-2,1.395349e-2,4.651163e-2
3900,39.0000,2.000000e-2,215,6,209,-2.769098e4,-4.225308e-1,32,2,30,-1.860465e-2,-4.186047e-2,6.976744e-2
4000,40.0000,2.000000e-2,215,6,209,-2.771441e4,-4.228883e-1,32,2,30,-1.860465e-2,-2.790698e-2,8.372093e-2
4100,41.0000,2.000000e-2,214,5,209,-2.773742e4,-4.232395e-1,33,2,31,-9.345794e-3,-9.345794e-3,8.137483e-2
4200,42.0000,2.000000e-2,214,5,209,-2.776036e4,-4.235895e-1,33,2,31,-1.869159e-2,1.401869e-2,8.878505e-2
4300,43.0000,2.000000e-2,214,5,209,-2.778195e4,-4.239189e-1,36,2,34,-1.869159e-2,-9.345794e-3,7.202904e-2
4400,44.0000,2.000000e-2,213,4,209,-2.780219e4,-4.242278e-1,36,2,34,-2.816901e-2,-9.389671e-3,8.450704e-2
4500,45.0000,2.000000e-2,213,4,209,-2.782190e4,-4.245285e-1,36,2,34,-2.347418e-2,0.000000e0,8.645171e-2
# sweep_kappa=0.03 begin_step=4500 (index=4/6)
5100,51.0000,3.000000e-2,212,3,209,-2.789735e4,-4.256799e-1,37,1,36,0.000000e0,0.000000e0,0.000000e0
5200,52.0000,3.000000e-2,212,3,209,-2.791105e4,-4.258889e-1,37,1,36,-3.773585e-2,-4.716981e-3,5.855761e-2
5300,53.0000,3.000000e-2,212,3,209,-2.792447e4,-4.260936e-1,38,1,37,-2.830189e-2,-9.433962e-3,7.547170e-2
5400,54.0000,3.000000e-2,212,3,209,-2.793783e4,-4.262975e-1,38,1,37,-1.415094e-2,4.716981e-3,5.660377e-2
5500,55.0000,3.000000e-2,212,3,209,-2.795143e4,-4.265050e-1,39,1,38,-2.830189e-2,4.716981e-3,5.855761e-2
5600,56.0000,3.000000e-2,211,2,209,-2.796563e4,-4.267217e-1,39,1,38,-3.317536e-2,-9.478673e-3,7.779248e-2
