# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-1
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
600,6.0000,0.000000e0,336,127,209,-2.163758e4,-3.301633e-1,17,8,9,0.000000e0,0.000000e0,0.000000e0
700,7.0000,0.000000e0,315,106,209,-2.395560e4,-3.655334e-1,19,9,10,-6.349206e-3,-2.857143e-2,3.321297e-1
800,8.0000,0.000000e0,303,94,209,-2.489089e4,-3.798049e-1,22,9,13,-3.300330e-3,9.900990e-3,2.532275e-1
900,9.0000,0.000000e0,295,86,209,-2.544854e4,-3.883139e-1,20,8,12,1.355932e-2,4.067797e-2,2.768029e-1
1000,10.0000,0.000000e0,284,75,209,-2.585836e4,-3.945673e-1,19,7,12,-2.112676e-2,0.000000e0,2.171016e-1
1100,11.0000,0.000000e0,273,64,209,-2.618949e4,-3.996199e-1,19,5,14,-1.098901e-2,7.326007e-3,1.751957e-1
1200,12.0000,0.000000e0,265,56,209,-2.646550e4,-4.038315e-1,18,4,14,-3.773585e-2,-3.773585e-2,2.087310e-1
1300,13.0000,0.000000e0,257,48,209,-2.669812e4,-4.073810e-1,18,4,14,-4.280156e-2,-1.167315e-2,1.588655e-1
1400,14.0000,0.000000e0,254,45,209,-2.689340e4,-4.103607e-1,17,3,14,0.000000e0,-7.874016e-3,1.426876e-1
1500,15.0000,0.000000e0,251,42,209,-2.705590e4,-4.128403e-1,17,3,14,-2.390438e-2,-7.968127e-3,1.443930e-1
# sweep_kappa=0.01 begin_step=1500 (index=2/6)
2100,21.0000,1.000000e-2,236,27,209,-2.771915e4,-4.229607e-1,20,3,17,0.000000e0,0.000000e0,0.000000e0
2200,22.0000,1.000000e-2,235,26,209,-2.780104e4,-4.242102e-1,20,3,17,-8.510638e-3,-2.978723e-2,1.148936e-1
2300,23.0000,1.000000e-2,231,22,209,-2.788306e4,-4.254617e-1,20,3,17,-3.896104e-2,-1.731602e-2,1.403213e-1
2400,24.0000,1.000000e-2,227,18,209,-2.796532e4,-4.267170e-1,22,2,20,-4.405286e-2,0.000000e0,1.093763e-1
2500,25.0000,1.000000e-2,224,15,209,-2.804139e4,-4.278776e-1,20,1,19,-8.928571e-3,-4.017857e-2,1.536349e-1
2600,26.0000,1.000000e-2,224,15,209,-2.810762e4,-4.288882e-1,20,1,19,-1.339286e-2,-8.928571e-3,1.179206e-1
2700,27.0000,1.000000e-2,223,14,209,-2.816469e4,-4.297591e-1,20,1,19,-1.793722e-2,-4.484305e-3,8.520179e-2
2800,28.0000,1.000000e-2,222,13,209,-2.821629e4,-4.305464e-1,20,1,19,-2.702703e-2,-1.351351e-2,1.099739e-1
2900,29.0000,1.000000e-2,221,12,209,-2.826523e4,-4.312932e-1,22,1,21,-3.619910e-2,-4.524887e-3,9.502262e-2
3000,30.0000,1.000000e-2,220,11,209,-2.831223e4,-4.320104e-1,22,1,21,-1.363636e-2,-4.545455e-3,6.740194e-2
# sweep_kappa=0.02 begin_step=3000 (index=3/6)
3600,36.0000,2.000000e-2,215,6,209,-2.852080e4,-4.351929e-1,22,1,21,0.000000e0,0.000000e0,0.000000e0
3700,37.0000,2.000000e-2,213,4,209,-2.855252e4,-4.356768e-1,23,1,22,-4.694836e-2,-1.408451e-2,7.042254e-2
3800,38.0000,2.000000e-2,213,4,209,-2.858184e4,-4.361242e-1,23,1,22,-1.408451e-2,-2.816901e-2,7.981221e-2
3900,39.0000,2.000000e-2,213,4,209,-2.860819e4,-4.365264e-1,23,1,22,-3.286385e-2,0.000000e0,6.767236e-2
4000,40.0000,2.000000e-2,212,3,209,-2.863254e4,-4.368979e-1,24,1,23,-1.415094e-2,-1.415094e-2,9.157648e-2
4100,41.0000,2.000000e-2,212,3,209,-2.865602e4,-4.372561e-1,24,1,23,1.415094e-2,-1.415094e-2,8.490566e-2
