# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=5000 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.2
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
5100,51.0000,0.000000e0,211,2,209,-2.896065e4,-4.419045e-1,22,1,21,0.000000e0,0.000000e0,0.000000e0
5200,52.0000,0.000000e0,211,2,209,-2.897396e4,-4.421075e-1,23,1,22,-4.739336e-3,-1.895735e-2,5.883514e-2
5300,53.0000,0.000000e0,211,2,209,-2.898581e4,-4.422884e-1,23,1,22,9.478673e-3,-1.421801e-2,6.161137e-2
5400,54.0000,0.000000e0,211,2,209,-2.899691e4,-4.424577e-1,23,1,22,-1.421801e-2,-1.895735e-2,7.109005e-2
5500,55.0000,0.000000e0,211,2,209,-2.900775e4,-4.426231e-1,23,1,22,-1.421801e-2,-4.739336e-3,4.739336e-2
5600,56.0000,0.000000e0,210,1,209,-2.901887e4,-4.427927e-1,23,1,22,4.761905e-3,-9.523810e-3,6.190476e-2
5700,57.0000,0.000000e0,210,1,209,-2.903057e4,-4.429713e-1,23,1,22,-1.904762e-2,0.000000e0,4.204013e-2
5800,58.0000,0.000000e0,210,1,209,-2.904167e4,-4.431408e-1,23,1,22,4.761905e-3,4.761905e-3,5.714286e-2
5900,59.0000,0.000000e0,210,1,209,-2.905124e4,-4.432867e-1,23,1,22,-1.428571e-2,9.523810e-3,4.285714e-2
6000,60.0000,0.000000e0,210,1,209,-2.905977e4,-4.434169e-1,24,1,23,4.761905e-3,-9.523810e-3,4.285714e-2
# sweep_kappa=0.01 begin_step=6000 (index=2/6)
6600,66.0000,1.000000e-2,210,1,209,-2.909356e4,-4.439325e-1,24,1,23,0.000000e0,0.000000e0,0.000000e0
6700,67.0000,1.000000e-2,210,1,209,-2.910003e4,-4.440313e-1,24,1,23,-3.333333e-2,-9.523810e-3,5.911530e-2
6800,68.0000,1.000000e-2,210,1,209,-2.910642e4,-4.441287e-1,24,1,23,-1.904762e-2,-4.761905e-3,4.285714e-2
6900,69.0000,1.000000e-2,210,1,209,-2.911275e4,-4.442252e-1,25,1,24,-1.904762e-2,4.761905e-3,5.238095e-2
7000,70.0000,1.000000e-2,210,1,209,-2.911897e4,-4.443202e-1,25,1,24,0.000000e0,1.428571e-2,1.428571e-2
7100,71.0000,1.000000e-2,210,1,209,-2.912503e4,-4.444127e-1,26,1,25,-1.428571e-2,4.761905e-3,4.482959e-2
7200,72.0000,1.000000e-2,210,1,209,-2.913091e4,-4.445024e-1,26,1,25,-1.428571e-2,-1.428571e-2,3.809524e-2
7300,73.0000,1.000000e-2,210,1,209,-2.913664e4,-4.445898e-1,26,1,25,-1.428571e-2,-1.428571e-2,2.857143e-2
7400,74.0000,1.000000e-2,210,1,209,-2.914228e4,-4.446760e-1,26,1,25,-2.857143e-2,0.000000e0,7.619048e-2
7500,75.0000,1.000000e-2,210,1,209,-2.914790e4,-4.447617e-1,27,1,26,2.380952e-2,-2.380952e-2,5.714286e-2
# sweep_kappa=0.02 begin_step=7500 (index=3/6)
8100,81.0000,2.000000e-2,209,0,209,-2.916370e4,-4.450028e-1,27,0,27,0.000000e0,0.000000e0,0.000000e0
8200,82.0000,2.000000e-2,209,0,209,-2.916838e4,-4.450742e-1,27,0,27,-2.870813e-2,-4.784689e-3,4.306220e-2
8300,83.0000,2.000000e-2,209,0,209,-2.917298e4,-4.451443e-1,28,0,28,-2.392344e-2,4.784689e-3,3.827751e-2
8400,84.0000,2.000000e-2,209,0,209,-2.917750e4,-4.452133e-1,28,0,28,-4.306220e-2,-9.569378e-3,5.263158e-2
8500,85.0000,2.000000e-2,209,0,209,-2.918194e4,-4.452811e-1,29,0,29,-2.392344e-2,4.784689e-3,5.461346e-2
8600,86.0000,2.000000e-2,209,0,209,-2.918626e4,-4.453470e-1,29,0,29,-3.349282e-2,-4.784689e-3,5.741627e-2
8700,87.0000,2.000000e-2,209,0,209,-2.919041e4,-4.454103e-1,29,0,29,-2.392344e-2,4.784689e-3,5.741627e-2
8800,88.0000,2.000000e-2,209,0,209,-2.919436e4,-4.454705e-1,29,0,29,-1.435407e-2,-9.569378e-3,4.306220e-2
8900,89.0000,2.000000e-2,209,0,209,-2.919808e4,-4.455273e-1,29,0,29,-4.784689e-3,0.000000e0,2.392344e-2
9000,90.0000,2.000000e-2,209,0,209,-2.920158e4,-4.455808e-1,29,0,29,0.000000e0,0.000000e0,9.569378e-3
# sweep_kappa=0.03 begin_step=9000 (index=4/6)
9600,96.0000,3.000000e-2,209,0,209,-2.920204e4,-4.455878e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
9700,97.0000,3.000000e-2,209,0,209,-2.920523e4,-4.456364e-1,29,0,29,-9.569378e-3,-4.784689e-3,1.435407e-2
9800,98.0000,3.000000e-2,209,0,209,-2.920828e4,-4.456830e-1,29,0,29,-1.435407e-2,-4.784689e-3,1.913876e-2
9900,99.0000,3.000000e-2,209,0,209,-2.921123e4,-4.457280e-1,29,0,29,-1.913876e-2,-4.784689e-3,2.392344e-2
10000,100.0000,3.000000e-2,209,0,209,-2.921407e4,-4.457713e-1,29,0,29,-3.827751e-2,4.784689e-3,5.263158e-2
10100,101.0000,3.000000e-2,209,0,209,-2.921681e4,-4.458131e-1,29,0,29,-2.392344e-2,-9.569378e-3,3.349282e-2
10200,102.0000,3.000000e-2,209,0,209,-2.921946e4,-4.458536e-1,29,0,29,-1.435407e-2,-9.569378e-3,4.306220e-2
10300,103.0000,3.000000e-2,209,0,209,-2.922202e4,-4.458927e-1,29,0,29,-4.784689e-3,-4.784689e-3,1.913876e-2
10400,104.0000,3.000000e-2,209,0,209,-2.922450e4,-4.459305e-1,29,0,29,-2.870813e-2,0.000000e0,2.870813e-2
10500,105.0000,3.000000e-2,209,0,209,-2.922691e4,-4.459672e-1,29,0,29,-2.870813e-2,-1.435407e-2,4.306220e-2
# sweep_kappa=0.04 begin_step=10500 (index=5/6)
11100,111.0000,4.000000e-2,209,0,209,-2.921949e4,-4.458540e-1,29,0,29,0.000000e0,0.000000e0,0.000000e0
11200,112.0000,4.000000e-2,209,0,209,-2.922224e4,-4.458960e-1,29,0,29,-4.306220e-2,-4.784689e-3,5.741627e-2
11300,113.0000,4.000000e-2,209,0,209,-2.922491e4,-4.459367e-1,29,0,29,-1.435407e-2,-1.913876e-2,3.349282e-2
11400,114.0000,4.000000e-2,209,0,209,-2.922750e4,-4.459762e-1,29,0,29,-4.784689e-3,4.784689e-3,9.569378e-3
11500,115.0000,4.000000e-2,209,0,209,-2.923002e4,-4.460146e-1,29,0,29,-3.827751e-2,0.000000e0,3.827751e-2
11600,116.0000,4.000000e-2,209,0,209,-2.923247e4,-4.460521e-1,29,0,29,-1.435407e-2,0.000000e0,1.435407e-2
11700,117.0000,4.000000e-2,209,0,209,-2.923486e4,-4.460886e-1,29,0,29,-1.913876e-2,-1.435407e-2,3.349282e-2
11800,118.0000,4.000000e-2,209,0,209,-2.923721e4,-4.461244e-1,29,0,29,-1.435407e-2,-4.784689e-3,1.913876e-2
11900,119.0000,4.000000e-2,209,0,209,-2.923950e4,-4.461594e-1,29,0,29,-9.569378e-3,4.784689e-3,2.392344e-2
12000,120.0000,4.000000e-2,209,0,209,-2.924176e4,-4.461938e-1,29,0,29,-2.870813e-2,0.000000e0,3.827751e-2
# sweep_kappa=0.049999997 begin_step=12000 (index=6/6)
12600,126.0000,5.000000e-2,209,0,209,-2.923225e4,-4.460488e-1,30,0,30,0.000000e0,0.000000e0,0.000000e0
12700,127.0000,5.000000e-2,209,0,209,-2.923532e4,-4.460956e-1,30,0,30,-1.435407e-2,0.000000e0,2.392344e-2
12800,128.0000,5.000000e-2,209,0,209,-2.923825e4,-4.461402e-1,30,0,30,-3.349282e-2,-1.435407e-2,5.461346e-2
12900,129.0000,5.000000e-2,209,0,209,-2.924101e4,-4.461824e-1,30,0,30,-9.569378e-3,0.000000e0,1.913876e-2
13000,130.0000,5.000000e-2,209,0,209,-2.924363e4,-4.462223e-1,30,0,30,-3.349282e-2,0.000000e0,3.349282e-2
13100,131.0000,5.000000e-2,209,0,209,-2.924611e4,-4.462603e-1,30,0,30,-2.392344e-2,2.392344e-2,4.784689e-2
13200,132.0000,5.000000e-2,209,0,209,-2.924849e4,-4.462965e-1,30,0,30,-1.913876e-2,-4.784689e-3,2.392344e-2
13300,133.0000,5.000000e-2,209,0,209,-2.925077e4,-4.463313e-1,30,0,30,-9.569378e-3,4.784689e-3,1.435407e-2
13400,134.0000,5.000000e-2,209,0,209,-2.925297e4,-4.463649e-1,30,0,30,-3.349282e-2,1.435407e-2,5.741627e-2
13500,135.0000,5.000000e-2,209,0,209,-2.925509e4,-4.463973e-1,30,0,30,-2.392344e-2,-4.784689e-3,3.827751e-2
