# mode=headless_kappa_sweep kappa_start=0 kappa_end=0.05 kappa_step=0.01 initial_relax_steps=5000 relax_steps=500 measure_steps=1000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=209 phi=0.020037625 B=0.020037625 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-1
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
# sweep_kappa=0 begin_step=0 (index=1/6)
5100,51.0000,0.000000e0,211,2,209,-2.883037e4,-4.399166e-1,26,1,25,0.000000e0,0.000000e0,0.000000e0
5200,52.0000,0.000000e0,211,2,209,-2.884296e4,-4.401086e-1,26,1,25,-4.739336e-3,-4.739336e-3,4.461713e-2
5300,53.0000,0.000000e0,211,2,209,-2.885442e4,-4.402835e-1,26,1,25,1.421801e-2,-1.421801e-2,3.791469e-2
5400,54.0000,0.000000e0,211,2,209,-2.886536e4,-4.404504e-1,26,1,25,-9.478673e-3,1.895735e-2,6.635071e-2
5500,55.0000,0.000000e0,211,2,209,-2.887624e4,-4.406165e-1,26,1,25,-9.478673e-3,-1.421801e-2,7.109005e-2
5600,56.0000,0.000000e0,210,1,209,-2.888766e4,-4.407907e-1,26,1,25,-1.904762e-2,0.000000e0,4.761905e-2
5700,57.0000,0.000000e0,210,1,209,-2.889993e4,-4.409780e-1,27,1,26,9.523810e-3,4.761905e-3,6.190476e-2
5800,58.0000,0.000000e0,210,1,209,-2.891184e4,-4.411597e-1,27,1,26,-4.761905e-3,4.761905e-3,4.482959e-2
5900,59.0000,0.000000e0,210,1,209,-2.892232e4,-4.413195e-1,28,1,27,-9.523810e-3,-4.761905e-3,5.911530e-2
6000,60.0000,0.000000e0,210,1,209,-2.893172e4,-4.414631e-1,28,1,27,-2.857143e-2,-9.523810e-3,7.340102e-2
# sweep_kappa=0.01 begin_step=6000 (index=2/6)
6600,66.0000,1.000000e-2,210,1,209,-2.896754e4,-4.420096e-1,29,1,28,0.000000e0,0.000000e0,0.000000e0
6700,67.0000,1.000000e-2,210,1,209,-2.897442e4,-4.421145e-1,29,1,28,-2.857143e-2,-9.523810e-3,5.714286e-2
6800,68.0000,1.000000e-2,210,1,209,-2.898121e4,-4.422182e-1,29,1,28,-4.761905e-3,-4.761905e-3,3.809524e-2
6900,69.0000,1.000000e-2,210,1,209,-2.898795e4,-4.423210e-1,30,1,29,-2.857143e-2,-4.761905e-3,5.911530e-2
7000,70.0000,1.000000e-2,210,1,209,-2.899461e4,-4.424226e-1,31,1,30,-1.428571e-2,0.000000e0,2.380952e-2
7100,71.0000,1.000000e-2,210,1,209,-2.900112e4,-4.425220e-1,31,1,30,-1.904762e-2,4.761905e-3,6.190476e-2
7200,72.0000,1.000000e-2,210,1,209,-2.900745e4,-4.426185e-1,32,1,31,-9.523810e-3,-1.428571e-2,4.959149e-2
7300,73.0000,1.000000e-2,210,1,209,-2.901355e4,-4.427116e-1,32,1,31,-9.523810e-3,4.761905e-3,3.333333e-2
7400,74.0000,1.000000e-2,210,1,209,-2.901943e4,-4.428013e-1,32,1,31,-4.761905e-3,-1.904762e-2,3.333333e-2
7500,75.0000,1.000000e-2,210,1,209,-2.902513e4,-4.428883e-1,32,1,31,-9.523810e-3,-9.523810e-3,5.714286e-2
# sweep_kappa=0.02 begin_step=7500 (index=3/6)
8100,81.0000,2.000000e-2,209,0,209,-2.904071e4,-4.431261e-1,33,0,33,0.000000e0,0.000000e0,0.000000e0
8200,82.0000,2.000000e-2,209,0,209,-2.904519e4,-4.431945e-1,33,0,33,-2.392344e-2,-1.435407e-2,6.418284e-2
8300,83.0000,2.000000e-2,209,0,209,-2.904944e4,-4.432594e-1,33,0,33,-3.349282e-2,0.000000e0,5.263158e-2
8400,84.0000,2.000000e-2,209,0,209,-2.905347e4,-4.433208e-1,33,0,33,-3.827751e-2,-1.435407e-2,6.896753e-2
8500,85.0000,2.000000e-2,209,0,209,-2.905728e4,-4.433789e-1,33,0,33,0.000000e0,1.913876e-2,2.870813e-2
8600,86.0000,2.000000e-2,209,0,209,-2.906090e4,-4.434341e-1,33,0,33,-3.349282e-2,-2.392344e-2,5.461346e-2
8700,87.0000,2.000000e-2,209,0,209,-2.906434e4,-4.434866e-1,33,0,33,0.000000e0,9.569378e-3,1.913876e-2
8800,88.0000,2.000000e-2,209,0,209,-2.906763e4,-4.435369e-1,33,0,33,-2.870813e-2,-4.784689e-3,3.349282e-2
8900,89.0000,2.000000e-2,209,0,209,-2.907078e4,-4.435850e-1,33,0,33,-1.435407e-2,0.000000e0,2.392344e-2
9000,90.0000,2.000000e-2,209,0,209,-2.907382e4,-4.436312e-1,33,0,33,0.000000e0,0.000000e0,2.870813e-2
# sweep_kappa=0.03 begin_step=9000 (index=4/6)
9600,96.0000,3.000000e-2,209,0,209,-2.907110e4,-4.435899e-1,33,0,33,0.000000e0,0.000000e0,0.000000e0
9700,97.0000,3.000000e-2,209,0,209,-2.907417e4,-4.436366e-1,33,0,33,-1.435407e-2,4.784689e-3,1.913876e-2
9800,98.0000,3.000000e-2,209,0,209,-2.907713e4,-4.436818e-1,33,0,33,-9.569378e-3,0.000000e0,2.870813e-2
9900,99.0000,3.000000e-2,209,0,209,-2.908001e4,-4.437257e-1,33,0,33,-1.913876e-2,-9.569378e-3,3.827751e-2
10000,100.0000,3.000000e-2,209,0,209,-2.908280e4,-4.437683e-1,33,0,33,-2.392344e-2,-9.569378e-3,4.306220e-2
10100,101.0000,3.000000e-2,209,0,209,-2.908551e4,-4.438097e-1,33,0,33,-1.913876e-2,-1.435407e-2,3.349282e-2
10200,102.0000,3.000000e-2,209,0,209,-2.908815e4,-4.438499e-1,33,0,33,-9.569378e-3,-9.569378e-3,1.913876e-2
10300,103.0000,3.000000e-2,209,0,209,-2.909072e4,-4.438891e-1,33,0,33,-9.569378e-3,-1.435407e-2,2.392344e-2
10400,104.0000,3.000000e-2,209,0,209,-2.909322e4,-4.439274e-1,33,0,33,-1.435407e-2,-4.784689e-3,2.870813e-2
10500,105.0000,3.000000e-2,209,0,209,-2.909567e4,-4.439647e-1,33,0,33,-4.306220e-2,-1.913876e-2,6.220096e-2
# sweep_kappa=0.04 begin_step=10500 (index=5/6)
11100,111.0000,4.000000e-2,209,0,209,-2.908740e4,-4.438386e-1,33,0,33,0.000000e0,0.000000e0,0.000000e0
11200,112.0000,4.000000e-2,209,0,209,-2.909047e4,-4.438854e-1,33,0,33,-1.435407e-2,0.000000e0,1.435407e-2
11300,113.0000,4.000000e-2,209,0,209,-2.909355e4,-4.439323e-1,33,0,33,-2.870813e-2,-4.784689e-3,3.349282e-2
11400,114.0000,4.000000e-2,209,0,209,-2.909666e4,-4.439798e-1,33,0,33,-9.569378e-3,0.000000e0,2.870813e-2
11500,115.0000,4.000000e-2,209,0,209,-2.909984e4,-4.440283e-1,34,0,34,-1.435407e-2,4.784689e-3,1.913876e-2
11600,116.0000,4.000000e-2,209,0,209,-2.910308e4,-4.440777e-1,34,0,34,-9.569378e-3,0.000000e0,9.569378e-3
11700,117.0000,4.000000e-2,209,0,209,-2.910634e4,-4.441275e-1,34,0,34,-4.306220e-2,-1.435407e-2,5.741627e-2
11800,118.0000,4.000000e-2,209,0,209,-2.910956e4,-4.441766e-1,34,0,34,-1.435407e-2,-9.569378e-3,2.392344e-2
11900,119.0000,4.000000e-2,209,0,209,-2.911270e4,-4.442246e-1,34,0,34,-1.913876e-2,-4.784689e-3,3.069002e-2
12000,120.0000,4.000000e-2,209,0,209,-2.911583e4,-4.442723e-1,34,0,34,-2.392344e-2,0.000000e0,4.306220e-2
# sweep_kappa=0.049999997 begin_step=12000 (index=6/6)
12600,126.0000,5.000000e-2,209,0,209,-2.911021e4,-4.441866e-1,36,0,36,0.000000e0,0.000000e0,0.000000e0
12700,127.0000,5.000000e-2,209,0,209,-2.911345e4,-4.442359e-1,36,0,36,-1.913876e-2,1.913876e-2,3.827751e-2
12800,128.0000,5.000000e-2,209,0,209,-2.911644e4,-4.442817e-1,36,0,36,-3.349282e-2,0.000000e0,4.306220e-2
12900,129.0000,5.000000e-2,209,0,209,-2.911926e4,-4.443246e-1,36,0,36,-2.392344e-2,-4.784689e-3,3.827751e-2
13000,130.0000,5.000000e-2,209,0,209,-2.912193e4,-4.443653e-1,36,0,36,-3.349282e-2,0.000000e0,4.306220e-2
13100,131.0000,5.000000e-2,209,0,209,-2.912447e4,-4.444042e-1,36,0,36,-2.392344e-2,9.569378e-3,3.069002e-2
13200,132.0000,5.000000e-2,209,0,209,-2.912692e4,-4.444415e-1,36,0,36,-4.784689e-3,0.000000e0,4.784689e-3
13300,133.0000,5.000000e-2,209,0,209,-2.912927e4,-4.444774e-1,36,0,36,-4.784689e-3,4.784689e-3,1.913876e-2
13400,134.0000,5.000000e-2,209,0,209,-2.913154e4,-4.445121e-1,36,0,36,-1.913876e-2,4.784689e-3,4.306220e-2
13500,135.0000,5.000000e-2,209,0,209,-2.913375e4,-4.445457e-1,36,0,36,-2.392344e-2,4.784689e-3,2.870813e-2
