# mode=headless steps=5000 sample_period=500
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 kappa=0 B=0.0061359233 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
500,5.0000,0.000000e0,302,238,64,-1.528003e4,-2.331548e-1,12,10,2,0.000000e0,0.000000e0,0.000000e0
1000,10.0000,0.000000e0,185,121,64,-2.606033e4,-3.976491e-1,10,6,4,4.108108e-2,-4.324324e-3,2.364364e-1
1500,15.0000,0.000000e0,153,89,64,-2.738799e4,-4.179076e-1,8,6,2,-7.843137e-3,1.830065e-2,1.617174e-1
2000,20.0000,0.000000e0,133,69,64,-2.808081e4,-4.284791e-1,7,6,1,9.022556e-3,1.353383e-2,1.170781e-1
2500,25.0000,0.000000e0,118,54,64,-2.851933e4,-4.351704e-1,6,5,1,-4.704335e-19,-1.694915e-3,1.142115e-1
3000,30.0000,0.000000e0,113,49,64,-2.880103e4,-4.394689e-1,7,5,2,-1.769912e-3,2.123894e-2,8.842021e-2
3500,35.0000,0.000000e0,109,45,64,-2.902037e4,-4.428157e-1,8,4,4,1.284404e-2,-5.504587e-3,1.012024e-1
4000,40.0000,0.000000e0,105,41,64,-2.917000e4,-4.450989e-1,9,4,5,-5.286776e-19,-2.095238e-2,9.088529e-2
4500,45.0000,0.000000e0,103,39,64,-2.930250e4,-4.471207e-1,10,4,6,-1.941748e-3,2.524272e-2,8.991677e-2
5000,50.0000,0.000000e0,96,32,64,-2.942768e4,-4.490308e-1,9,3,6,-2.083333e-3,4.166667e-3,6.593809e-2
