# mode=headless steps=5000 sample_period=100
# nx=256 ny=256 dt=0.01 dx=1 flux_n=64 phi=0.0061359233 kappa=0 B=0.0061359233 seed=1234
# defects: mode=random count=50 radius=3 spacing=32 alpha_default=1 alpha_defect=-0.5
step,time,kappa,vortices,antivortices,net,energy,energy_density,pinned_v,pinned_av,pinned_net,mean_vx,mean_vy,mean_speed
100,1.0000,0.000000e0,1509,1445,64,-5.916630e1,-9.028060e-4,53,46,7,0.000000e0,0.000000e0,0.000000e0
200,2.0000,0.000000e0,721,657,64,-3.289342e2,-5.019138e-3,30,24,6,9.708738e-3,-3.190014e-2,9.581051e-1
300,3.0000,0.000000e0,472,408,64,-1.602155e3,-2.444694e-2,19,15,4,3.389831e-2,-6.355932e-2,8.363746e-1
400,4.0000,0.000000e0,367,303,64,-6.407814e3,-9.777548e-2,17,13,4,5.994550e-2,-9.536785e-2,6.831739e-1
500,5.0000,0.000000e0,302,238,64,-1.528003e4,-2.331548e-1,12,10,2,4.966887e-2,-9.602649e-2,6.055831e-1
600,6.0000,0.000000e0,260,196,64,-2.154095e4,-3.286889e-1,12,7,5,-3.875969e-3,-2.713178e-2,5.846007e-1
700,7.0000,0.000000e0,232,168,64,-2.390757e4,-3.648006e-1,9,10,-1,6.034483e-2,-6.465517e-2,3.345443e-1
800,8.0000,0.000000e0,212,148,64,-2.493193e4,-3.804310e-1,9,8,1,2.358491e-2,2.358491e-2,3.147543e-1
900,9.0000,0.000000e0,195,131,64,-2.558051e4,-3.903276e-1,9,6,3,5.641026e-2,4.615385e-2,2.413901e-1
1000,10.0000,0.000000e0,185,121,64,-2.606033e4,-3.976491e-1,10,6,4,0.000000e0,-5.405405e-3,2.350556e-1
1100,11.0000,0.000000e0,177,113,64,-2.643296e4,-4.033350e-1,10,8,2,3.389831e-2,4.519774e-2,2.240500e-1
1200,12.0000,0.000000e0,170,106,64,-2.673046e4,-4.078744e-1,9,6,3,2.352941e-2,2.352941e-2,2.038252e-1
1300,13.0000,0.000000e0,164,100,64,-2.697798e4,-4.116513e-1,8,6,2,-2.439024e-2,3.658537e-2,2.281354e-1
1400,14.0000,0.000000e0,156,92,64,-2.719399e4,-4.149473e-1,8,6,2,6.410256e-3,0.000000e0,1.949629e-1
1500,15.0000,0.000000e0,153,89,64,-2.738799e4,-4.179076e-1,8,6,2,-6.535948e-3,-6.535948e-3,2.238081e-1
1600,16.0000,0.000000e0,149,85,64,-2.755888e4,-4.205152e-1,8,6,2,3.355705e-2,2.013423e-2,1.800566e-1
1700,17.0000,0.000000e0,144,80,64,-2.771080e4,-4.228333e-1,8,6,2,6.944444e-3,4.166667e-2,1.278765e-1
1800,18.0000,0.000000e0,140,76,64,-2.784816e4,-4.249292e-1,8,6,2,-2.142857e-2,-1.428571e-2,1.886730e-1
1900,19.0000,0.000000e0,137,73,64,-2.797119e4,-4.268065e-1,7,6,1,-7.299270e-3,0.000000e0,1.532847e-1
2000,20.0000,0.000000e0,133,69,64,-2.808081e4,-4.284791e-1,7,6,1,3.007519e-2,0.000000e0,1.309339e-1
2100,21.0000,0.000000e0,130,66,64,-2.818085e4,-4.300056e-1,7,6,1,-1.538462e-2,2.307692e-2,1.461538e-1
2200,22.0000,0.000000e0,129,65,64,-2.827255e4,-4.314049e-1,7,6,1,-7.751938e-3,-1.550388e-2,1.692126e-1
2300,23.0000,0.000000e0,126,62,64,-2.835744e4,-4.327001e-1,7,6,1,-3.174603e-2,-2.380952e-2,1.527194e-1
2400,24.0000,0.000000e0,121,57,64,-2.844000e4,-4.339600e-1,6,5,1,4.132231e-2,8.264463e-3,1.108613e-1
2500,25.0000,0.000000e0,118,54,64,-2.851933e4,-4.351704e-1,6,5,1,0.000000e0,0.000000e0,1.355932e-1
2600,26.0000,0.000000e0,118,54,64,-2.858892e4,-4.362324e-1,6,5,1,0.000000e0,3.389831e-2,7.978147e-2
2700,27.0000,0.000000e0,117,53,64,-2.864737e4,-4.371242e-1,6,5,1,0.000000e0,3.418803e-2,1.488394e-1
2800,28.0000,0.000000e0,117,53,64,-2.869989e4,-4.379256e-1,7,5,2,0.000000e0,0.000000e0,8.547009e-2
2900,29.0000,0.000000e0,117,53,64,-2.874976e4,-4.386865e-1,7,5,2,-2.564103e-2,8.547009e-3,1.146514e-1
3000,30.0000,0.000000e0,113,49,64,-2.880103e4,-4.394689e-1,7,5,2,8.849558e-3,6.194690e-2,8.849558e-2
3100,31.0000,0.000000e0,111,47,64,-2.885513e4,-4.402943e-1,8,5,3,9.009009e-3,0.000000e0,1.245804e-1
3200,32.0000,0.000000e0,110,46,64,-2.890589e4,-4.410689e-1,9,5,4,3.636364e-2,0.000000e0,1.090909e-1
