step,time,vortices,antivortices,net
100,1.00,3018,3018,0
200,2.00,1723,1723,0
300,3.00,1245,1245,0
400,4.00,976,976,0
500,5.00,807,807,0
600,6.00,678,678,0
700,7.00,572,572,0
800,8.00,513,513,0
900,9.00,475,475,0
1000,10.00,449,449,0
1100,11.00,431,431,0
1200,12.00,423,423,0
1300,13.00,416,416,0
1400,14.00,396,396,0
1500,15.00,391,391,0
1600,16.00,381,381,0
1700,17.00,370,370,0
1800,18.00,364,364,0
1900,19.00,361,361,0
2000,20.00,362,362,0
2100,21.00,360,360,0
2200,22.00,355,355,0
2300,23.00,355,355,0
2400,24.00,347,347,0
2500,25.00,345,345,0
2600,26.00,336,336,0
2700,27.00,332,332,0
2800,28.00,331,331,0
2900,29.00,329,329,0
3000,30.00,322,322,0
3100,31.00,319,319,0
3200,32.00,315,315,0
3300,33.00,318,318,0
3400,34.00,316,316,0
3500,35.00,315,315,0
3600,36.00,315,315,0
3700,37.00,316,316,0
3800,38.00,315,315,0
3900,39.00,314,314,0
4000,40.00,311,311,0
4100,41.00,311,311,0
4200,42.00,311,311,0
4300,43.00,309,309,0
4400,44.00,309,309,0
4500,45.00,308,308,0
4600,46.00,307,307,0
4700,47.00,311,311,0
4800,48.00,310,310,0
4900,49.00,309,309,0
5000,50.00,313,313,0
5100,51.00,314,314,0
