# 伊辛模型临界指数计算结果
# 晶格类型: Triangular, 理论 Tc = 3.6410

# 温度扫描数据
T,M,M_std
2.184574,0.990265,0.004900
2.412134,0.982538,0.006888
2.639694,0.969555,0.009973
2.867254,0.950350,0.014329
3.094813,0.921858,0.020487
3.204042,0.901983,0.025490
3.226079,0.894072,0.031784
3.248117,0.889669,0.029834
3.270154,0.886491,0.031097
3.292192,0.874544,0.037109
3.314229,0.874854,0.036108
3.336266,0.872174,0.032718
3.358304,0.856760,0.039958
3.380341,0.851081,0.040780
3.402378,0.847064,0.039920
3.424416,0.838971,0.045557
3.446453,0.812970,0.061975
3.468491,0.801951,0.080850
3.490528,0.704933,0.219155
3.512565,0.794501,0.055110
3.534603,0.762055,0.083763
3.556640,0.736909,0.101059
3.578677,0.751077,0.092466
3.600715,0.709071,0.105208
3.622752,0.709251,0.096789

# 方法一: M^(1/beta*) vs T 线性度分析
beta_star,R_squared
0.0500,0.966802
0.0600,0.983625
0.0700,0.990372
0.0800,0.990044
0.0900,0.985065
0.1000,0.977232
0.1100,0.967795
0.1200,0.957592
0.1300,0.947162
0.1400,0.936843
0.1500,0.926836
0.1600,0.917256
0.1700,0.908159
0.1800,0.899567
0.1900,0.891477
0.2000,0.883874

# 方法二: log(M) vs log(Tc-T) 拟合
# slope (beta) = 0.132485
# R_squared = 0.831944
