# 伊辛模型高温外场响应计算结果
# 理论预期: M = tanh(H/T) (J=1, μ=1, kB=1)

T,H,M_simulation,M_theory,abs_error,rel_error_percent
100.0000,0.0000,0.004594,0.000000,0.004594,0.0000
100.0000,0.2083,0.000063,0.002083,0.002021,97.0000
100.0000,0.4167,0.002578,0.004167,0.001589,38.1246
100.0000,0.6250,0.007000,0.006250,0.000750,12.0015
100.0000,0.8333,0.014172,0.008333,0.005839,70.0664
100.0000,1.0417,0.015484,0.010416,0.005068,48.6554
100.0000,1.2500,0.013781,0.012499,0.001282,10.2557
100.0000,1.4583,0.014328,0.014582,0.000254,1.7430
100.0000,1.6667,0.015297,0.016665,0.001368,8.2103
100.0000,1.8750,0.019187,0.018748,0.000440,2.3453
100.0000,2.0833,0.023203,0.020830,0.002373,11.3911
100.0000,2.2917,0.023703,0.022913,0.000790,3.4499
100.0000,2.5000,0.029031,0.024995,0.004036,16.1492
100.0000,2.7083,0.033984,0.027077,0.006908,25.5114
100.0000,2.9167,0.027859,0.029158,0.001299,4.4551
100.0000,3.1250,0.031906,0.031240,0.000666,2.1332
100.0000,3.3333,0.037250,0.033321,0.003929,11.7914
100.0000,3.5417,0.038625,0.035402,0.003223,9.1044
100.0000,3.7500,0.038703,0.037482,0.001221,3.2567
100.0000,3.9583,0.036094,0.039563,0.003469,8.7682
100.0000,4.1667,0.039547,0.041643,0.002096,5.0326
100.0000,4.3750,0.038641,0.043722,0.005081,11.6222
100.0000,4.5833,0.046266,0.045801,0.000464,1.0139
100.0000,4.7917,0.054953,0.047880,0.007073,14.7725
100.0000,5.0000,0.050812,0.049958,0.000854,1.7097
30.0000,0.0000,0.001750,0.000000,0.001750,0.0000
30.0000,0.2083,0.007750,0.006944,0.000806,11.6018
30.0000,0.4167,0.019766,0.013888,0.005878,42.3217
30.0000,0.6250,0.026094,0.020830,0.005263,25.2681
30.0000,0.8333,0.029516,0.027771,0.001745,6.2836
30.0000,1.0417,0.037844,0.034708,0.003135,9.0338
30.0000,1.2500,0.046453,0.041643,0.004811,11.5520
30.0000,1.4583,0.057125,0.048573,0.008552,17.6068
30.0000,1.6667,0.064250,0.055498,0.008752,15.7690
30.0000,1.8750,0.069547,0.062419,0.007128,11.4199
30.0000,2.0833,0.074578,0.069333,0.005245,7.5651
30.0000,2.2917,0.088688,0.076241,0.012447,16.3257
30.0000,2.5000,0.099734,0.083141,0.016593,19.9582
30.0000,2.7083,0.097859,0.090033,0.007826,8.6924
30.0000,2.9167,0.119281,0.096917,0.022364,23.0756
30.0000,3.1250,0.120625,0.103792,0.016833,16.2185
30.0000,3.3333,0.126109,0.110656,0.015453,13.9651
30.0000,3.5417,0.141672,0.117510,0.024162,20.5614
30.0000,3.7500,0.143281,0.124353,0.018928,15.2214
30.0000,3.9583,0.153875,0.131184,0.022691,17.2970
30.0000,4.1667,0.149625,0.138003,0.011622,8.4218
30.0000,4.3750,0.170797,0.144808,0.025989,17.9469
30.0000,4.5833,0.179734,0.151600,0.028134,18.5582
30.0000,4.7917,0.180828,0.158378,0.022450,14.1752
30.0000,5.0000,0.186625,0.165140,0.021485,13.0099
10.0000,0.0000,-0.001687,0.000000,0.001687,0.0000
10.0000,0.2083,0.041922,0.020830,0.021092,101.2541
10.0000,0.4167,0.068437,0.041643,0.026795,64.3450
10.0000,0.6250,0.090672,0.062419,0.028253,45.2639
10.0000,0.8333,0.129312,0.083141,0.046172,55.5340
10.0000,1.0417,0.159438,0.103792,0.055646,53.6132
10.0000,1.2500,0.189297,0.124353,0.064944,52.2254
10.0000,1.4583,0.214578,0.144808,0.069770,48.1809
10.0000,1.6667,0.257953,0.165140,0.092813,56.2023
10.0000,1.8750,0.278094,0.185333,0.092761,50.0507
10.0000,2.0833,0.308844,0.205371,0.103473,50.3836
10.0000,2.2917,0.334641,0.225237,0.109403,48.5724
10.0000,2.5000,0.371063,0.244919,0.126144,51.5044
10.0000,2.7083,0.392156,0.264400,0.127756,48.3193
10.0000,2.9167,0.424312,0.283668,0.140644,49.5806
10.0000,3.1250,0.447203,0.302710,0.144493,47.7333
10.0000,3.3333,0.466922,0.321513,0.145409,45.2266
10.0000,3.5417,0.489766,0.340066,0.149700,44.0209
10.0000,3.7500,0.510687,0.358357,0.152330,42.5079
10.0000,3.9583,0.532984,0.376378,0.156606,41.6087
10.0000,4.1667,0.557219,0.394119,0.163100,41.3835
10.0000,4.3750,0.572094,0.411570,0.160524,39.0028
10.0000,4.5833,0.589562,0.428725,0.160838,37.5154
10.0000,4.7917,0.613344,0.445576,0.167768,37.6519
10.0000,5.0000,0.626406,0.462117,0.164289,35.5514
