theta,omega
2.3095757840,-1.1452320228
2.4474049613,-1.1332806939
3.0357645006,-0.8442063311
2.2867007267,-1.1649209118
3.1163836072,-0.5512933757
2.4927686086,-1.1266013937
3.0954618888,-0.8508585141
2.1765581063,-1.2898462732
2.9849405441,-0.6588642469
2.8920978357,-0.9811406417
3.0328926698,-0.8332850196
2.2610812890,-1.1812912264
3.0977892343,-0.5687550263
2.4211492084,-0.9350509743
3.0428267228,-0.8166834201
2.1738696642,-1.2596522048
2.9989092476,-0.6471601831
3.0962239874,-0.4287796716
2.6424477441,-0.7764639511
2.4363259493,-1.1290601029
3.0318961077,-0.8405996595
2.2825253521,-1.1666875968
3.1132937070,-0.5522701353
2.1301099663,-1.1420541363
3.0311441539,-0.6208937112
3.0070119455,-0.9256216611
2.8539719438,-0.7193588999
2.7095017766,-0.8341078695
2.4585736303,-1.0875776537
3.1063751534,-0.8495174302
2.2421833398,-1.2700153302
3.0379123017,-0.6173205008
2.4430627721,-1.1107598181
3.0445044818,-0.8486496870
2.2577986656,-1.1877918684
3.0848557809,-0.5753113260
2.3331835518,-0.9996396396
3.0375864708,-0.8390997606
2.2685273203,-1.1765253553
3.1047961273,-0.5644259702
3.0317006428,-0.8413869007
2.3034373614,-1.1473351917
2.4452136124,-1.1120654309
3.0449556500,-0.8490437746
2.2567883643,-1.1829435734
3.0947601720,-0.5695385681
3.1116309761,-0.8858097266
2.1624039586,-1.2879858256
2.9697705049,-0.6651251205
2.4878421315,-1.1629356212
3.0505287470,-0.8502511019
2.2330679184,-1.2021325693
3.0688620109,-0.5894776717
2.8372222264,-0.6257050440
2.3613813287,-1.1054338207
3.0981494346,-0.7600907550
3.0991395797,-0.8903697297
2.1790485096,-1.2575807988
2.9960066146,-0.6447657069
2.5961334202,-0.9684860767
2.4384935438,-1.1231862440
3.0352107989,-0.8433551531
2.2874396996,-1.1646097636
3.1169300737,-0.5511201609
3.0725906691,-0.8538652733
2.1715486068,-1.2601007404
2.9976114493,-0.6470496386
2.5808746517,-0.8201410583
2.8359130890,-0.7731220046
3.0071410421,-0.6013954799
2.5037565030,-1.1232479431
3.1262649820,-0.8462826659
2.5746468228,-1.1217201595
3.1307039411,-0.8460762108
2.7129950235,-1.0573565445
2.4423929328,-0.9220991367
2.4430839790,-1.1240986097
3.0383084863,-0.8441683210
2.2803755711,-1.1657865256
3.1189664040,-0.5523578858
2.5743586663,-1.0966872934
3.0371531957,-0.8127264103
2.1709089381,-1.2649955842
2.9873320937,-0.6504935894
3.0628010511,-0.7942237429
2.2553627896,-1.2649451785
3.0492931405,-0.6085000934
2.4751429331,-1.1295636628
3.0682794979,-0.8500866346
2.1751476649,-1.2626046609
2.9907503329,-0.6492515257
3.0509456172,-0.4630733919
2.9041323814,-0.5749327116
2.6377979572,-1.0955222710
2.9227760965,-0.5593412819
2.7128400376,-0.8725618756
2.4464329368,-1.1083591471
3.0490976399,-0.8498826054
2.2477433860,-1.1975569375
3.0723278259,-0.5863138764
2.9921185375,-0.9308526089
