t,delta_theta
0.000000,0.001000
0.040000,0.000999
0.080000,0.000997
0.120000,0.000993
0.160000,0.000988
0.200000,0.000981
0.240000,0.000973
0.280000,0.000964
0.320000,0.000953
0.360000,0.000941
0.400000,0.000927
0.440000,0.000913
0.480000,0.000897
0.520000,0.000881
0.560000,0.000863
0.600000,0.000844
0.640000,0.000825
0.680000,0.000804
0.720000,0.000783
0.760000,0.000761
0.800000,0.000738
0.840000,0.000714
0.880000,0.000690
0.920000,0.000665
0.960000,0.000640
1.000000,0.000614
1.040000,0.000588
1.080000,0.000561
1.120000,0.000534
1.160000,0.000507
1.200000,0.000479
1.240000,0.000452
1.280000,0.000424
1.320000,0.000396
1.360000,0.000368
1.400000,0.000340
1.440000,0.000312
1.480000,0.000284
1.520000,0.000257
1.560000,0.000229
1.600000,0.000202
1.640000,0.000175
1.680000,0.000148
1.720000,0.000121
1.760000,0.000095
1.800000,0.000070
1.840000,0.000044
1.880000,0.000019
1.920000,0.000005
1.960000,0.000029
2.000000,0.000052
2.040000,0.000075
2.080000,0.000098
2.120000,0.000119
2.160000,0.000141
2.200000,0.000161
2.240000,0.000181
2.280000,0.000201
2.320000,0.000219
2.360000,0.000238
2.400000,0.000255
2.440000,0.000272
2.480000,0.000288
2.520000,0.000304
2.560000,0.000319
2.600000,0.000334
2.640000,0.000348
2.680000,0.000362
2.720000,0.000374
2.760000,0.000387
2.800000,0.000399
2.840000,0.000410
2.880000,0.000421
2.920000,0.000432
2.960000,0.000442
3.000000,0.000451
3.040000,0.000460
3.080000,0.000469
3.120000,0.000478
3.160000,0.000486
3.200000,0.000494
3.240000,0.000501
3.280000,0.000508
3.320000,0.000515
3.360000,0.000522
3.400000,0.000529
3.440000,0.000535
3.480000,0.000541
3.520000,0.000547
3.560000,0.000553
3.600000,0.000559
3.640000,0.000565
3.680000,0.000571
3.720000,0.000577
3.760000,0.000582
3.800000,0.000588
3.840000,0.000594
3.880000,0.000599
3.920000,0.000605
3.960000,0.000611
4.000000,0.000616
4.040000,0.000622
4.080000,0.000628
4.120000,0.000634
4.160000,0.000640
4.200000,0.000647
4.240000,0.000653
4.280000,0.000659
4.320000,0.000666
4.360000,0.000672
4.400000,0.000679
4.440000,0.000686
4.480000,0.000693
4.520000,0.000700
4.560000,0.000707
4.600000,0.000715
4.640000,0.000722
4.680000,0.000730
4.720000,0.000737
4.760000,0.000745
4.800000,0.000753
4.840000,0.000761
4.880000,0.000769
4.920000,0.000776
4.960000,0.000784
5.000000,0.000792
5.040000,0.000800
5.080000,0.000808
5.120000,0.000816
5.160000,0.000823
5.200000,0.000831
5.240000,0.000838
5.280000,0.000845
5.320000,0.000852
5.360000,0.000858
5.400000,0.000864
5.440000,0.000870
5.480000,0.000875
5.520000,0.000880
5.560000,0.000885
5.600000,0.000888
5.640000,0.000891
5.680000,0.000894
5.720000,0.000896
5.760000,0.000897
5.800000,0.000897
5.840000,0.000896
5.880000,0.000895
5.920000,0.000892
5.960000,0.000889
6.000000,0.000884
6.040000,0.000879
6.080000,0.000872
6.120000,0.000865
6.160000,0.000856
6.200000,0.000846
6.240000,0.000836
6.280000,0.000824
6.320000,0.000811
6.360000,0.000797
6.400000,0.000782
6.440000,0.000766
6.480000,0.000749
6.520000,0.000732
6.560000,0.000713
6.600000,0.000694
6.640000,0.000674
6.680000,0.000654
6.720000,0.000633
6.760000,0.000612
6.800000,0.000590
6.840000,0.000568
6.880000,0.000546
6.920000,0.000524
6.960000,0.000501
7.000000,0.000479
7.040000,0.000456
7.080000,0.000434
7.120000,0.000412
7.160000,0.000390
7.200000,0.000368
7.240000,0.000347
7.280000,0.000326
7.320000,0.000305
7.360000,0.000285
7.400000,0.000265
7.440000,0.000245
7.480000,0.000226
7.520000,0.000207
7.560000,0.000189
7.600000,0.000171
7.640000,0.000154
7.680000,0.000137
7.720000,0.000120
7.760000,0.000104
7.800000,0.000088
7.840000,0.000073
7.880000,0.000058
7.920000,0.000043
7.960000,0.000029
8.000000,0.000015
8.040000,0.000001
8.080000,0.000012
8.120000,0.000025
8.160000,0.000038
